================================================================================
CRAWLER V2
================================================================================
Fuente: Autoridad de Supervisión del Sistema Financiero
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 4
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[ASFI] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=0
[ASFI] t=   4.8s | pag=  0 | files=   0 | data=  0 | cola=   3 | prio= 0 | https://www.asfi.gob.bo/
[ASFI] t=   6.1s | pag=  1 | files=   0 | data=  0 | cola= 103 | prio= 0 | https://www.asfi.gob.bo/pb/estadisticas-intermediacion-financiera
[ASFI] t=   6.8s | pag=  2 | files=   0 | data=  0 | cola= 110 | prio= 0 | https://www.asfi.gob.bo/pb/estadisticas-mercado-valores
[ASFI] t=   7.6s | pag=  3 | files=   0 | data=  0 | cola= 114 | prio= 0 | https://www.asfi.gob.bo/la/anuario-estadistico
[ASFI] t=  20.6s | pag=  4 | files=  17 | data=  0 | cola= 113 | prio= 2 | https://www.asfi.gob.bo/la/mercado-valores
[ASFI] t=  21.1s | pag=  5 | files=  20 | data=  0 | cola= 112 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones-0
[ASFI] t=  21.5s | pag=  6 | files=  20 | data=  0 | cola= 113 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones-1
[ASFI] t=  22.1s | pag=  7 | files=  20 | data=  0 | cola= 115 | prio= 2 | https://www.asfi.gob.bo/pb/registro-mercado-valores
[ASFI] t=  22.9s | pag=  8 | files=  20 | data=  0 | cola= 116 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones-2
[ASFI] t=  23.8s | pag=  9 | files=  20 | data=  0 | cola= 120 | prio= 2 | https://www.asfi.gob.bo/pb/datos-sobre-reclamos-y-consultas-atendidas
[ASFI] t=  24.6s | pag= 10 | files=  20 | data=  0 | cola= 121 | prio= 2 | https://www.asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI] DATASETS=1 | data_html_table | https://www.asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI] t=  25.3s | pag= 11 | files=  23 | data=  1 | cola= 120 | prio= 2 | https://www.asfi.gob.bo/pb/boletines-estadisticos
[ASFI] t=  26.9s | pag= 12 | files=  24 | data=  1 | cola= 132 | prio= 2 | https://www.asfi.gob.bo/la/principales-indicadores-financieros
[ASFI] t=  27.4s | pag= 13 | files=  24 | data=  1 | cola= 131 | prio= 2 | https://www.asfi.gob.bo/pb/boletines-estadisticos-mercado-valores
[ASFI] t=  28.3s | pag= 14 | files=  24 | data=  1 | cola= 142 | prio= 2 | https://www.asfi.gob.bo/la/reportes-dinamicos
[ASFI] t=  28.8s | pag= 15 | files=  24 | data=  1 | cola= 141 | prio= 2 | https://www.asfi.gob.bo/pb/estadisticas-reclamos
[ASFI] t=  29.3s | pag= 16 | files=  24 | data=  1 | cola= 179 | prio= 2 | https://www.asfi.gob.bo/la/boletines-estadisticos-mercado-valores-2026
