================================================================================
CRAWLER V2
================================================================================
Fuente: ASFI / FINRURAL
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 2
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[ASFI_FINRURAL] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=0
[ASFI_FINRURAL] t=   6.4s | pag=  0 | files=   0 | data=  0 | cola=   1 | prio= 0 | https://www.asfi.gob.bo/
[ASFI_FINRURAL] t=   8.2s | pag=  1 | files=   0 | data=  0 | cola= 102 | prio= 0 | https://www.asfi.gob.bo/pb/estadisticas-intermediacion-financiera
[ASFI_FINRURAL] t=   9.0s | pag=  2 | files=   0 | data=  0 | cola= 109 | prio= 2 | https://www.asfi.gob.bo/la/mercado-valores
[ASFI_FINRURAL] t=   9.5s | pag=  3 | files=   3 | data=  0 | cola= 108 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones-0
[ASFI_FINRURAL] t=  10.4s | pag=  4 | files=   3 | data=  0 | cola= 109 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones-1
[ASFI_FINRURAL] t=  11.1s | pag=  5 | files=   3 | data=  0 | cola= 111 | prio= 2 | https://www.asfi.gob.bo/pb/registro-mercado-valores
[ASFI_FINRURAL] t=  12.0s | pag=  6 | files=   3 | data=  0 | cola= 112 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones-2
[ASFI_FINRURAL] t=  12.6s | pag=  7 | files=   3 | data=  0 | cola= 116 | prio= 2 | https://www.asfi.gob.bo/pb/estadisticas-mercado-valores
[ASFI_FINRURAL] t=  13.0s | pag=  8 | files=   3 | data=  0 | cola= 120 | prio= 2 | https://www.asfi.gob.bo/pb/datos-sobre-reclamos-y-consultas-atendidas
[ASFI_FINRURAL] t=  13.5s | pag=  9 | files=   3 | data=  0 | cola= 121 | prio= 2 | https://www.asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI_FINRURAL] DATASETS=1 | data_html_table | https://www.asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
