================================================================================
CRAWLER V2
================================================================================
Fuente: Autoridad de Supervisión del Sistema Financiero - Mercado de Valores
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 2
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[ASFI_VALORES] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=0
[ASFI_VALORES] t=   4.8s | pag=  0 | files=   0 | data=  0 | cola=   1 | prio= 0 | https://www.asfi.gob.bo/
[ASFI_VALORES] t=   6.1s | pag=  1 | files=   0 | data=  0 | cola= 102 | prio= 0 | https://www.asfi.gob.bo/pb/estadisticas-mercado-valores
[ASFI_VALORES] t=   6.8s | pag=  2 | files=   0 | data=  0 | cola= 107 | prio= 2 | https://www.asfi.gob.bo/la/mercado-valores
[ASFI_VALORES] t=   7.2s | pag=  3 | files=   3 | data=  0 | cola= 106 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones-0
[ASFI_VALORES] t=   7.8s | pag=  4 | files=   3 | data=  0 | cola= 107 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones-1
[ASFI_VALORES] t=   8.5s | pag=  5 | files=   3 | data=  0 | cola= 109 | prio= 2 | https://www.asfi.gob.bo/pb/registro-mercado-valores
[ASFI_VALORES] t=   9.2s | pag=  6 | files=   3 | data=  0 | cola= 110 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones-2
[ASFI_VALORES] t=   9.9s | pag=  7 | files=   3 | data=  0 | cola= 114 | prio= 2 | https://www.asfi.gob.bo/pb/estadisticas-intermediacion-financiera
[ASFI_VALORES] t=  10.3s | pag=  8 | files=   3 | data=  0 | cola= 120 | prio= 2 | https://www.asfi.gob.bo/pb/datos-sobre-reclamos-y-consultas-atendidas
[ASFI_VALORES] t=  11.0s | pag=  9 | files=   3 | data=  0 | cola= 121 | prio= 2 | https://www.asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI_VALORES] DATASETS=1 | data_html_table | https://www.asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI_VALORES] t=  11.5s | pag= 10 | files=   6 | data=  1 | cola= 120 | prio= 2 | https://www.asfi.gob.bo/pb/boletines-estadisticos-mercado-valores
[ASFI_VALORES] t=  12.0s | pag= 11 | files=   6 | data=  1 | cola= 131 | prio= 2 | https://www.asfi.gob.bo/la/reportes-dinamicos
[ASFI_VALORES] t=  12.7s | pag= 12 | files=   6 | data=  1 | cola= 130 | prio= 2 | https://www.asfi.gob.bo/pb/boletines-estadisticos
