================================================================================
CRAWLER V2
================================================================================
Fuente: Asociación de Instituciones Financieras de Microfinanzas de Bolivia
URL configurada: https://asofinbolivia.com/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://asofinbolivia.com/
  Utilizada: https://asofinbolivia.com/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://asofinbolivia.com/

URL de trabajo: https://asofinbolivia.com/
Seeds: 12
Máx páginas: 350
Máx archivos: 1000
Máx profundidad: 4
Sitemaps: inactivo

[ASOFIN] t=   0.0s | pag=  0 | files=   0 | data=  0 | req=   0 | rej=   0 | cola=  11 | prio= 0 | https://asofinbolivia.com/
[ASOFIN] t=   2.8s | pag=  1 | files=   0 | data=  0 | req=   1 | rej=   0 | cola=  15 | prio= 0 | https://asofinbolivia.com/index.php/indicadores-financieros-2/
[ASOFIN] t=   4.5s | pag=  2 | files=   0 | data=  0 | req=   2 | rej=   0 | cola=  14 | prio= 0 | https://asofinbolivia.com/index.php/indicadores-sociales/
[ASOFIN] t=   6.3s | pag=  3 | files=   0 | data=  0 | req=   3 | rej=   0 | cola=  13 | prio= 0 | https://www.asofinbolivia.com/graficos/indicadores_financieros/Reporte-Financiero.html
[ASOFIN] DATASETS=1 | score=140 | data_chart | https://www.asofinbolivia.com/graficos/indicadores_financieros/Reporte-Financiero.html
[ASOFIN] t=   9.1s | pag=  4 | files=   0 | data=  1 | req=   4 | rej=   0 | cola=  12 | prio= 0 | https://www.asofinbolivia.com/graficos/indicadores_sociales/Reporte-Social.html
[ASOFIN] DATASETS=2 | score=140 | data_chart | https://www.asofinbolivia.com/graficos/indicadores_sociales/Reporte-Social.html
[ASOFIN] t=   9.9s | pag=  5 | files=   0 | data=  2 | req=   5 | rej=   0 | cola=  11 | prio= 0 | https://asofinbolivia.com/index.php/cobertura-paf/
[ASOFIN] t=  11.5s | pag=  6 | files=   0 | data=  2 | req=   6 | rej=   0 | cola=  10 | prio= 0 | https://www.asofinbolivia.com/graficos/cobertura_paf/bolivia.html
[ASOFIN] t=  12.7s | pag=  7 | files=   0 | data=  2 | req=   7 | rej=   0 | cola=   9 | prio= 0 | https://asofinbolivia.com/index.php/benchmarking/
[ASOFIN] t=  14.3s | pag=  8 | files=   0 | data=  2 | req=   8 | rej=   0 | cola=   8 | prio= 0 | https://asofinbolivia.com/graficos/benchmarking/benchmar.html
[ASOFIN] t=  15.9s | pag=  9 | files=   0 | data=  2 | req=   9 | rej=   0 | cola=   7 | prio= 0 | https://asofinbolivia.com/index.php/category/boletin_financiero/
