================================================================================
CRAWLER V2
================================================================================
Fuente: Administradora de Tarjetas de Crédito / Red Enlace
URL configurada: https://www.redenlace.com.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s
Verificación TLS: activa


Resolución de fuente:
  Original: https://www.redenlace.com.bo/
  Utilizada: https://www.redenlace.com.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.redenlace.com.bo/

URL de trabajo: https://www.redenlace.com.bo/
Seeds: 1
Máx páginas: 5000
Máx archivos: 100000
Máx profundidad: 12
Sitemaps: activo
Máx URLs sitemap: 10000

[ATC] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=0
[ATC] t=   4.6s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.redenlace.com.bo/
[ATC] t=   5.5s | pag=  1 | files=   0 | data=  0 | cola=  42 | prio=10 | https://www.redenlace.com.bo/sobre-red-enlace/memorias
[ATC] t=   6.3s | pag=  2 | files=  12 | data=  0 | cola=  41 | prio=10 | https://www.redenlace.com.bo/sobre-red-enlace/documentos-relacionados-al-contrato-de-adquirencia
[ATC] t=   7.1s | pag=  3 | files=  31 | data=  0 | cola=  40 | prio=10 | https://www.redenlace.com.bo/secciones-de-interes/educacion-financiera
[ATC] t=   7.8s | pag=  4 | files=  31 | data=  0 | cola=  41 | prio=10 | https://www.redenlace.com.bo/secciones-de-interes/educacion-financiera/aprendiendo-con-red-enlace
[ATC] t=   8.6s | pag=  5 | files=  31 | data=  0 | cola=  40 | prio=10 | https://www.redenlace.com.bo/secciones-de-interes/educacion-financiera/programa-de-educacion-financiera
[ATC] t=   9.5s | pag=  6 | files=  39 | data=  0 | cola=  39 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes/solicitud-de-reembolso-activos-virtuales
[ATC] t=  10.4s | pag=  7 | files=  39 | data=  0 | cola=  38 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes/punto-de-reclamo
[ATC] t=  11.4s | pag=  8 | files=  39 | data=  0 | cola=  37 | prio=50 | https://www.redenlace.com.bo/productos-y-servicios
[ATC] t=  12.2s | pag=  9 | files=  39 | data=  0 | cola=  43 | prio=50 | https://www.redenlace.com.bo/soporte
[ATC] t=  12.8s | pag= 10 | files=  39 | data=  0 | cola=  45 | prio=50 | https://www.redenlace.com.bo/sobre-red-enlace
[ATC] t=  13.4s | pag= 11 | files=  39 | data=  0 | cola=  44 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes
[ATC] t=  14.1s | pag= 12 | files=  39 | data=  0 | cola=  43 | prio=50 | https://www.redenlace.com.bo/afiliate-en-linea
[ATC] t=  14.6s | pag= 13 | files=  39 | data=  0 | cola=  42 | prio=50 | https://portal.redenlace.com.bo/
[ATC] t=  15.6s | pag= 14 | files=  39 | data=  0 | cola=  41 | prio=50 | https://afiliaciones.redenlace.com.bo/Solicitud/Externo/Mantenimiento
[ATC] t=  16.9s | pag= 15 | files=  39 | data=  0 | cola=  40 | prio=50 | https://www.redenlace.com.bo/productos-y-servicios/quiero-cobrar-con-tarjeta-en-mi-negocio
[ATC] t=  17.7s | pag= 16 | files=  39 | data=  0 | cola=  41 | prio=50 | https://www.redenlace.com.bo/productos-y-servicios/quiero-cobrar-por-internet-en-mi-tienda-virtual
[ATC] t=  18.4s | pag= 17 | files=  39 | data=  0 | cola=  40 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes/blog/activos-virtuales
[ATC] t=  19.3s | pag= 18 | files=  39 | data=  0 | cola=  39 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes/blog/varias-formas-de-cobrar-con-red-enlace
[ATC] t=  20.2s | pag= 19 | files=  39 | data=  0 | cola=  38 | prio=50 | https://www.redenlace.com.bo/pix
[ATC] t=  20.8s | pag= 19 | files=  39 | data=  0 | cola=  37 | prio=50 | https://www.redenlace.com.bo/sobre-red-enlace/la-red-mas-segura-de-bolivia
[ATC] t=  22.1s | pag= 20 | files=  39 | data=  0 | cola=  36 | prio=50 | https://www.redenlace.com.bo/productos-y-servicios/enlazate-online
[ATC] t=  22.6s | pag= 21 | files=  39 | data=  0 | cola=  36 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes/blog/red-enlace-acepta-las-exclusivas-tarjetas-american-express
[ATC] t=  23.5s | pag= 22 | files=  39 | data=  0 | cola=  35 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes/blog
[ATC] t=  24.2s | pag= 23 | files=  39 | data=  0 | cola=  34 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes/blog/declaracion-de-privacidad-y-confidencialidad-de-la-informacion-de-la-app-de-portal-de-comercios
[ATC] t=  24.7s | pag= 24 | files=  39 | data=  0 | cola=  33 | prio=50 | https://www.redenlace.com.bo/soporte/tutoriales
