fuente;nombre;dominio;url_configurada;url_utilizada;uso_fallback;paginas;archivos;datasets;recursos_json;urls_unicas;duplicados_url;formatos;apis_detectadas;api_urls_unicas;api_formatos;sitio_con_api;api_sondeos_fallidos;errores;motivo_parada;duracion_crawler;duracion_total;returncode;resultado;detalle;json_output;log_output
ada;ADA Bolivia;adascz.com.bo;https://www.adascz.com.bo/;https://www.adascz.com.bo/;False;2421;2248;4;2252;2252;0;"{""PDF"": 2248, ""WEB"": 4}";0;0;{};False;0;9;frontier_exhausted;2167.68;2170.94;0;MAPEADO_CON_ERRORES;Hay recursos, pero también errores parciales.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\ada.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\batch_logs\ada.log
aetn;Autoridad de Fiscalización de Electricidad y Tecnología Nuclear;aetn.gob.bo;https://www.aetn.gob.bo/;https://aetn.gob.bo/;True;341;284;140;424;424;0;"{""API:JSON"": 5, ""DOC"": 1, ""DOCX"": 5, ""PDF"": 273, ""RAR"": 1, ""WEB"": 135, ""XLSX"": 2, ""XML"": 2}";5;5;"{""JSON"": 5}";True;0;7;frontier_exhausted;560.73;563.15;0;MAPEADO_CON_ERRORES;Hay recursos, pero también errores parciales.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\aetn.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\batch_logs\aetn.log
anapo;Asociación de Productores de Oleaginosas y Trigo;anapobolivia.org;https://www.anapobolivia.org/;https://anapobolivia.org/;True;516;111;30;141;141;0;"{""PDF"": 111, ""WEB"": 30}";0;0;{};False;0;15;frontier_exhausted;1120.47;1124.24;0;MAPEADO_CON_ERRORES;Hay recursos, pero también errores parciales.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\anapo.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\batch_logs\anapo.log
aps;Autoridad de Fiscalización y Control de Pensiones y Seguros;aps.gob.bo;https://www.aps.gob.bo/;https://www.aps.gob.bo/;False;1562;4811;9;4820;4820;0;"{""7Z"": 2, ""API:JSON"": 8, ""DOCX"": 5, ""PDF"": 4690, ""TXT"": 4, ""WEB"": 1, ""XLSX"": 80, ""ZIP"": 30}";8;8;"{""JSON"": 8}";True;1;2;frontier_exhausted;2648.86;2651.01;0;MAPEADO_CON_ERRORES;Hay recursos, pero también errores parciales.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\aps.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\batch_logs\aps.log
aps_soat;APS - Seguros SOAT;aps.gob.bo;https://www.aps.gob.bo/;https://www.aps.gob.bo/;False;1563;4811;9;4820;4820;0;"{""7Z"": 2, ""API:JSON"": 8, ""DOCX"": 5, ""PDF"": 4690, ""TXT"": 4, ""WEB"": 1, ""XLSX"": 80, ""ZIP"": 30}";8;8;"{""JSON"": 8}";True;1;2;frontier_exhausted;2730.87;4820.53;0;MAPEADO_CON_ERRORES;Hay recursos, pero también errores parciales.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\aps_soat.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\batch_logs\aps_soat.log
asfi;Autoridad de Supervisión del Sistema Financiero;asfi.gob.bo;https://www.asfi.gob.bo/;https://www.asfi.gob.bo/;False;1256;7606;49;7655;7655;0;"{""DOC"": 8, ""DOCX"": 2, ""PDF"": 4228, ""RAR"": 6, ""WEB"": 49, ""XLS"": 1606, ""XLSX"": 495, ""ZIP"": 1261}";0;0;{};False;0;6;frontier_exhausted;2585.31;2587.25;0;MAPEADO_CON_ERRORES;Hay recursos, pero también errores parciales.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\asfi.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\batch_logs\asfi.log
asfi_bcb;ASFI / Banco Central de Bolivia;bcb.gob.bo;https://www.bcb.gob.bo/;https://www.bcb.gob.bo/;False;0;0;0;0;0;0;{};0;0;{};False;0;0;;0.0;7200.02;1;TIMEOUT;La fuente excedió el timeout del batch.;;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\batch_logs\asfi_bcb.log
asfi_finrural;ASFI / FINRURAL;asfi.gob.bo;https://www.asfi.gob.bo/;https://www.asfi.gob.bo/;False;1255;7606;49;7655;7655;0;"{""DOC"": 8, ""DOCX"": 2, ""PDF"": 4228, ""RAR"": 6, ""WEB"": 49, ""XLS"": 1606, ""XLSX"": 495, ""ZIP"": 1261}";0;0;{};False;0;6;frontier_exhausted;2464.53;3526.87;0;MAPEADO_CON_ERRORES;Hay recursos, pero también errores parciales.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\asfi_finrural.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\batch_logs\asfi_finrural.log
asfi_valores;Autoridad de Supervisión del Sistema Financiero - Mercado de Valores;asfi.gob.bo;https://www.asfi.gob.bo/;https://www.asfi.gob.bo/;False;1255;7606;49;7655;7655;0;"{""DOC"": 8, ""DOCX"": 2, ""PDF"": 4228, ""RAR"": 6, ""WEB"": 49, ""XLS"": 1606, ""XLSX"": 495, ""ZIP"": 1261}";0;0;{};False;0;6;frontier_exhausted;2430.68;4898.43;0;MAPEADO_CON_ERRORES;Hay recursos, pero también errores parciales.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\asfi_valores.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\batch_logs\asfi_valores.log
asofin;Asociación de Instituciones Financieras de Microfinanzas de Bolivia;asofinbolivia.com;https://asofinbolivia.com/;https://asofinbolivia.com/;False;366;255;3;258;258;0;"{""DOC"": 1, ""DOCX"": 1, ""PDF"": 253, ""WEB"": 3}";0;0;{};False;0;1;frontier_exhausted;706.26;709.98;0;MAPEADO_CON_ERRORES;Hay recursos, pero también errores parciales.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\asofin.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\batch_logs\asofin.log
