================================================================================
CRAWLER V2
================================================================================
Fuente: Autoridad de Fiscalización y Control de Pensiones y Seguros
URL configurada: https://www.aps.gob.bo
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.aps.gob.bo
  Utilizada: https://www.aps.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.aps.gob.bo/

URL de trabajo: https://www.aps.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_6_APS] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.aps.gob.bo/
[FULL_6_APS] t=   1.7s | pag=  1 | files=  11 | data=  0 | cola=  49 | prio=10 | https://www.aps.gob.bo/index.php/institucional/acerca-de-aps/resena-historica
[FULL_6_APS] t=   2.3s | pag=  2 | files=  11 | data=  0 | cola=  48 | prio=10 | https://www.aps.gob.bo/index.php/institucional/informes-de-resultados-de-viajes-al-exterior
[FULL_6_APS] t=   3.2s | pag=  3 | files=  11 | data=  0 | cola=  47 | prio=50 | https://www.aps.gob.bo/index.php
[FULL_6_APS] t=   3.9s | pag=  4 | files=  11 | data=  0 | cola=  46 | prio=50 | https://www.aps.gob.bo/index.php/institucional/acerca-de-aps/informacion-de-la-mae
[FULL_6_APS] t=   4.7s | pag=  5 | files=  11 | data=  0 | cola=  45 | prio=50 | https://www.aps.gob.bo/index.php/institucional/acerca-de-aps/valores-y-principios
[FULL_6_APS] t=   5.8s | pag=  6 | files=  11 | data=  0 | cola=  44 | prio=50 | https://www.aps.gob.bo/index.php/institucional/acerca-de-aps/objetivos-institucionales
[FULL_6_APS] t=   6.8s | pag=  7 | files=  11 | data=  0 | cola=  43 | prio=50 | https://www.aps.gob.bo/index.php/institucional/planificacion/informacion-planificacion
[FULL_6_APS] t=   7.3s | pag=  8 | files=  12 | data=  0 | cola=  45 | prio=50 | https://www.aps.gob.bo/index.php/institucional/planificacion/programas-y-proyectos-de-inversion
[FULL_6_APS] t=   8.2s | pag=  9 | files=  12 | data=  0 | cola=  44 | prio=50 | https://www.aps.gob.bo/index.php/institucional/recursos-humanos/convocatorias-publicas
[FULL_6_APS] t=   8.9s | pag= 10 | files=  16 | data=  0 | cola=  43 | prio=50 | https://www.aps.gob.bo/index.php/institucional/administracion-y-finanzas
[FULL_6_APS] t=   9.5s | pag= 11 | files=  16 | data=  0 | cola=  42 | prio=50 | https://www.aps.gob.bo/index.php/institucional/enlaces-externos
[FULL_6_APS] t=  10.3s | pag= 12 | files=  16 | data=  0 | cola=  41 | prio=50 | https://www.aps.gob.bo/index.php/institucional/politica-de-calidad
[FULL_6_APS] t=  11.0s | pag= 13 | files=  16 | data=  0 | cola=  40 | prio=50 | https://www.aps.gob.bo/index.php/institucional/correspondencia-digital
[FULL_6_APS] t=  11.5s | pag= 14 | files=  16 | data=  0 | cola=  39 | prio=50 | https://www.aps.gob.bo/index.php/institucional/auditoria-interna
[FULL_6_APS] t=  12.2s | pag= 15 | files=  16 | data=  0 | cola=  38 | prio=50 | https://www.aps.gob.bo/index.php/institucional/certificaciones
[FULL_6_APS] t=  12.8s | pag= 16 | files=  19 | data=  0 | cola=  37 | prio=50 | https://www.aps.gob.bo/index.php/institucional/mapa-del-sitio
[FULL_6_APS] t=  13.4s | pag= 17 | files=  19 | data=  0 | cola=  36 | prio=50 | https://www.aps.gob.bo/index.php/proteccion-al-ciudadano/consultas-y-reclamos
[FULL_6_APS] t=  14.1s | pag= 18 | files=  19 | data=  0 | cola=  35 | prio=50 | https://www.aps.gob.bo/index.php/proteccion-al-ciudadano/guia-de-tramites/aportes-en-el-exterior
[FULL_6_APS] t=  14.6s | pag= 19 | files=  19 | data=  0 | cola=  35 | prio=50 | https://www.aps.gob.bo/index.php/proteccion-al-ciudadano/registro-para-consultores
[FULL_6_APS] t=  15.6s | pag= 20 | files=  20 | data=  0 | cola=  34 | prio=50 | https://www.aps.gob.bo/index.php/proteccion-al-ciudadano/medicos-habilitados-sip
[FULL_6_APS] t=  16.4s | pag= 21 | files=  20 | data=  0 | cola=  33 | prio=50 | https://www.aps.gob.bo/index.php/proteccion-al-ciudadano/preguntas-frecuentes
[FULL_6_APS] t=  17.1s | pag= 22 | files=  20 | data=  0 | cola=  32 | prio=50 | https://www.aps.gob.bo/index.php/pensiones/entidades-fiscalizadas
[FULL_6_APS] t=  17.9s | pag= 23 | files=  20 | data=  0 | cola=  31 | prio=50 | https://www.aps.gob.bo/index.php/pensiones/normativa
[FULL_6_APS] t=  18.7s | pag= 24 | files=  84 | data=  0 | cola=  30 | prio=50 | https://www.aps.gob.bo/index.php/pensiones/normativa-internacional
[FULL_6_APS] t=  19.3s | pag= 25 | files=  86 | data=  0 | cola=  29 | prio=50 | https://www.aps.gob.bo/index.php/pensiones/consulta-a-tramites-de-dictamenes
