================================================================================
CRAWLER V2
================================================================================
Fuente: APS - Seguros SOAT
URL configurada: https://www.aps.gob.bo
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.aps.gob.bo
  Utilizada: https://www.aps.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.aps.gob.bo/

URL de trabajo: https://www.aps.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_7_APS_SOAT] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.aps.gob.bo/
[FULL_7_APS_SOAT] t=   1.1s | pag=  1 | files=  11 | data=  0 | cola=  49 | prio=10 | https://www.aps.gob.bo/index.php/institucional/acerca-de-aps/resena-historica
[FULL_7_APS_SOAT] t=   1.7s | pag=  2 | files=  11 | data=  0 | cola=  48 | prio=10 | https://www.aps.gob.bo/index.php/institucional/informes-de-resultados-de-viajes-al-exterior
[FULL_7_APS_SOAT] t=   2.3s | pag=  3 | files=  11 | data=  0 | cola=  47 | prio=50 | https://www.aps.gob.bo/index.php
[FULL_7_APS_SOAT] t=   3.3s | pag=  4 | files=  11 | data=  0 | cola=  46 | prio=50 | https://www.aps.gob.bo/index.php/institucional/acerca-de-aps/informacion-de-la-mae
[FULL_7_APS_SOAT] t=   3.9s | pag=  5 | files=  11 | data=  0 | cola=  45 | prio=50 | https://www.aps.gob.bo/index.php/institucional/acerca-de-aps/valores-y-principios
[FULL_7_APS_SOAT] t=   4.5s | pag=  6 | files=  11 | data=  0 | cola=  44 | prio=50 | https://www.aps.gob.bo/index.php/institucional/acerca-de-aps/objetivos-institucionales
[FULL_7_APS_SOAT] t=   5.3s | pag=  7 | files=  11 | data=  0 | cola=  43 | prio=50 | https://www.aps.gob.bo/index.php/institucional/planificacion/informacion-planificacion
[FULL_7_APS_SOAT] t=   5.9s | pag=  8 | files=  12 | data=  0 | cola=  45 | prio=50 | https://www.aps.gob.bo/index.php/institucional/planificacion/programas-y-proyectos-de-inversion
[FULL_7_APS_SOAT] t=   6.5s | pag=  9 | files=  12 | data=  0 | cola=  44 | prio=50 | https://www.aps.gob.bo/index.php/institucional/recursos-humanos/convocatorias-publicas
[FULL_7_APS_SOAT] t=   7.3s | pag= 10 | files=  16 | data=  0 | cola=  43 | prio=50 | https://www.aps.gob.bo/index.php/institucional/administracion-y-finanzas
[FULL_7_APS_SOAT] t=   7.8s | pag= 11 | files=  16 | data=  0 | cola=  42 | prio=50 | https://www.aps.gob.bo/index.php/institucional/enlaces-externos
[FULL_7_APS_SOAT] t=   8.7s | pag= 12 | files=  16 | data=  0 | cola=  41 | prio=50 | https://www.aps.gob.bo/index.php/institucional/politica-de-calidad
[FULL_7_APS_SOAT] t=   9.5s | pag= 13 | files=  16 | data=  0 | cola=  40 | prio=50 | https://www.aps.gob.bo/index.php/institucional/correspondencia-digital
[FULL_7_APS_SOAT] t=  10.5s | pag= 14 | files=  16 | data=  0 | cola=  39 | prio=50 | https://www.aps.gob.bo/index.php/institucional/auditoria-interna
[FULL_7_APS_SOAT] t=  11.4s | pag= 15 | files=  16 | data=  0 | cola=  38 | prio=50 | https://www.aps.gob.bo/index.php/institucional/certificaciones
[FULL_7_APS_SOAT] t=  12.4s | pag= 16 | files=  19 | data=  0 | cola=  37 | prio=50 | https://www.aps.gob.bo/index.php/institucional/mapa-del-sitio
[FULL_7_APS_SOAT] t=  13.5s | pag= 17 | files=  19 | data=  0 | cola=  36 | prio=50 | https://www.aps.gob.bo/index.php/proteccion-al-ciudadano/consultas-y-reclamos
[FULL_7_APS_SOAT] t=  14.0s | pag= 18 | files=  19 | data=  0 | cola=  35 | prio=50 | https://www.aps.gob.bo/index.php/proteccion-al-ciudadano/guia-de-tramites/aportes-en-el-exterior
[FULL_7_APS_SOAT] t=  14.5s | pag= 19 | files=  19 | data=  0 | cola=  35 | prio=50 | https://www.aps.gob.bo/index.php/proteccion-al-ciudadano/registro-para-consultores
[FULL_7_APS_SOAT] t=  15.0s | pag= 20 | files=  20 | data=  0 | cola=  34 | prio=50 | https://www.aps.gob.bo/index.php/proteccion-al-ciudadano/medicos-habilitados-sip
[FULL_7_APS_SOAT] t=  15.6s | pag= 21 | files=  20 | data=  0 | cola=  33 | prio=50 | https://www.aps.gob.bo/index.php/proteccion-al-ciudadano/preguntas-frecuentes
[FULL_7_APS_SOAT] t=  16.7s | pag= 22 | files=  20 | data=  0 | cola=  32 | prio=50 | https://www.aps.gob.bo/index.php/pensiones/entidades-fiscalizadas
[FULL_7_APS_SOAT] t=  17.7s | pag= 23 | files=  20 | data=  0 | cola=  31 | prio=50 | https://www.aps.gob.bo/index.php/pensiones/normativa
[FULL_7_APS_SOAT] t=  18.4s | pag= 24 | files=  84 | data=  0 | cola=  30 | prio=50 | https://www.aps.gob.bo/index.php/pensiones/normativa-internacional
[FULL_7_APS_SOAT] t=  18.9s | pag= 25 | files=  86 | data=  0 | cola=  29 | prio=50 | https://www.aps.gob.bo/index.php/pensiones/consulta-a-tramites-de-dictamenes
[FULL_7_APS_SOAT] t=  19.9s | pag= 26 | files=  86 | data=  0 | cola=  28 | prio=50 | https://www.aps.gob.bo/index.php/seguros/entidades-fiscalizadas
[FULL_7_APS_SOAT] t=  21.2s | pag= 27 | files=  86 | data=  0 | cola=  28 | prio=10 | https://aplicaciones.aps.gob.bo/reportes_asp/index.html
[FULL_7_APS_SOAT] DATASETS=1 | data_html_table | https://aplicaciones.aps.gob.bo/reportes_asp/index.html
[FULL_7_APS_SOAT] t=  22.6s | pag= 28 | files=  86 | data=  1 | cola=  27 | prio=50 | https://www.aps.gob.bo/index.php/seguros/normativa
[FULL_7_APS_SOAT] t=  23.5s | pag= 29 | files= 127 | data=  1 | cola=  26 | prio=50 | https://www.aps.gob.bo/index.php/seguros/sistemas-de-informacion
[FULL_7_APS_SOAT] t=  28.3s | pag= 30 | files= 146 | data=  1 | cola=  27 | prio=50 | https://www.aps.gob.bo/index.php/seguros/monitoreo-de-reaseguradores-y-corredores-de-seguros
[FULL_7_APS_SOAT] t=  29.1s | pag= 31 | files= 146 | data=  1 | cola=  26 | prio=50 | https://www.aps.gob.bo/index.php?id=20&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  30.0s | pag= 32 | files= 146 | data=  1 | cola=  30 | prio=50 | https://www.aps.gob.bo/index.php?id=124&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  30.9s | pag= 33 | files= 146 | data=  1 | cola=  30 | prio=50 | https://www.aps.gob.bo/index.php?id=24&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  31.7s | pag= 34 | files= 146 | data=  1 | cola=  32 | prio=50 | https://www.aps.gob.bo/index.php?id=73&option=com_sppagebuilder&view=page
[FULL_7_APS_SOAT] t=  32.7s | pag= 35 | files= 146 | data=  1 | cola=  34 | prio=50 | https://moodle.aps.gob.bo/
