================================================================================
CRAWLER V2
================================================================================
Fuente: Autoridad de Supervisión del Sistema Financiero
URL configurada: https://www.asfi.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.asfi.gob.bo/
  Utilizada: https://www.asfi.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.asfi.gob.bo/

URL de trabajo: https://www.asfi.gob.bo/
Seeds: 5
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[ASFI] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   4 | prio= 0 | https://www.asfi.gob.bo/
[ASFI] t=   0.9s | pag=  1 | files=   0 | data=  0 | cola= 103 | prio= 0 | https://www.asfi.gob.bo/pb/estadisticas-intermediacion-financiera
[ASFI] t=   1.7s | pag=  2 | files=   0 | data=  0 | cola= 110 | prio= 0 | https://www.asfi.gob.bo/pb/estadisticas-mercado-valores
[ASFI] t=   2.5s | pag=  3 | files=   0 | data=  0 | cola= 114 | prio= 0 | https://www.asfi.gob.bo/la/anuario-estadistico
[ASFI] t=  16.8s | pag=  4 | files=  17 | data=  0 | cola= 113 | prio= 0 | https://www.asfi.gob.bo/pb/intermediarios
[ASFI] t=  40.1s | pag=  5 | files=  34 | data=  0 | cola= 112 | prio= 2 | https://www.asfi.gob.bo/la/mercado-valores
[ASFI] t=  40.9s | pag=  6 | files=  37 | data=  0 | cola= 111 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones-0
[ASFI] t=  41.3s | pag=  7 | files=  37 | data=  0 | cola= 112 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones-1
[ASFI] t=  42.0s | pag=  8 | files=  37 | data=  0 | cola= 114 | prio= 2 | https://www.asfi.gob.bo/pb/registro-mercado-valores
[ASFI] t=  42.4s | pag=  9 | files=  37 | data=  0 | cola= 115 | prio= 2 | https://www.asfi.gob.bo/pb/publicaciones-2
[ASFI] t=  43.3s | pag= 10 | files=  37 | data=  0 | cola= 119 | prio= 2 | https://www.asfi.gob.bo/pb/datos-sobre-reclamos-y-consultas-atendidas
[ASFI] t=  43.8s | pag= 11 | files=  37 | data=  0 | cola= 120 | prio= 2 | https://www.asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI] DATASETS=1 | data_html_table | https://www.asfi.gob.bo/la/estadisticas-sobre-supervision-legitimacion-ganancias-ilicitas-y-financiamiento-del-terrorismo
[ASFI] t=  44.6s | pag= 12 | files=  40 | data=  1 | cola= 119 | prio= 2 | https://www.asfi.gob.bo/pb/boletines-estadisticos
[ASFI] t=  46.6s | pag= 13 | files=  41 | data=  1 | cola= 131 | prio= 2 | https://www.asfi.gob.bo/la/principales-indicadores-financieros
[ASFI] t=  47.3s | pag= 14 | files=  41 | data=  1 | cola= 130 | prio= 2 | https://www.asfi.gob.bo/pb/boletines-estadisticos-mercado-valores
[ASFI] t=  47.9s | pag= 15 | files=  41 | data=  1 | cola= 141 | prio= 2 | https://www.asfi.gob.bo/la/reportes-dinamicos
[ASFI] t=  48.3s | pag= 16 | files=  41 | data=  1 | cola= 140 | prio= 2 | https://www.asfi.gob.bo/pb/estadisticas-reclamos
[ASFI] t=  49.0s | pag= 17 | files=  41 | data=  1 | cola= 178 | prio= 2 | https://www.asfi.gob.bo/la/boletines-estadisticos-mercado-valores-2026
[ASFI] DATASETS=2 | data_html_table | https://www.asfi.gob.bo/la/boletines-estadisticos-mercado-valores-2026
[ASFI] t=  54.7s | pag= 18 | files=  45 | data=  2 | cola= 177 | prio=10 | https://www.asfi.gob.bo/pb/boletin-trimestral-actualizacion-y-emision-normativa
[ASFI] t=  55.4s | pag= 19 | files=  45 | data=  2 | cola= 195 | prio=10 | https://www.asfi.gob.bo/pb/puntos-atenci%C3%B3n-financiera
[ASFI] t=  56.3s | pag= 20 | files=  45 | data=  2 | cola= 197 | prio=10 | https://www.asfi.gob.bo/node/1008
[ASFI] t=  57.2s | pag= 21 | files=  46 | data=  2 | cola= 196 | prio=10 | https://www.asfi.gob.bo/node/1011
[ASFI] t=  57.6s | pag= 22 | files=  46 | data=  2 | cola= 195 | prio=10 | https://www.asfi.gob.bo/node/1006
[ASFI] t=  58.5s | pag= 23 | files=  46 | data=  2 | cola= 194 | prio=10 | https://www.asfi.gob.bo/pagina-lista-boletines
[ASFI] t=  59.1s | pag= 24 | files=  55 | data=  2 | cola= 195 | prio=10 | https://www.asfi.gob.bo/la/hechos-relevantes
[ASFI] t=  59.7s | pag= 25 | files=  55 | data=  2 | cola= 206 | prio=10 | https://www.asfi.gob.bo/pb/entidades-financieras-vivienda
[ASFI] t=  60.3s | pag= 26 | files=  55 | data=  2 | cola= 205 | prio=10 | https://www.asfi.gob.bo/pb/instituciones-financieras-desarrollo
[ASFI] t=  61.3s | pag= 27 | files=  55 | data=  2 | cola= 204 | prio=10 | https://www.asfi.gob.bo/la/1deg-reclamos-recibidos-entidades-financieras-primera-instancia-2026
[ASFI] t=  64.5s | pag= 28 | files=  57 | data=  2 | cola= 203 | prio=10 | https://www.asfi.gob.bo/node/959
[ASFI] t=  68.4s | pag= 29 | files=  59 | data=  2 | cola= 202 | prio=10 | https://www.asfi.gob.bo/node/962
[ASFI] t=  69.2s | pag= 30 | files=  61 | data=  2 | cola= 201 | prio=10 | https://www.asfi.gob.bo/node/965
[ASFI] t=  69.6s | pag= 31 | files=  63 | data=  2 | cola= 200 | prio=10 | https://www.asfi.gob.bo/node/968
[ASFI] t=  70.6s | pag= 32 | files=  65 | data=  2 | cola= 199 | prio=10 | https://www.asfi.gob.bo/node/971
[ASFI] t=  71.7s | pag= 33 | files=  67 | data=  2 | cola= 198 | prio=10 | https://www.asfi.gob.bo/node/974
[ASFI] t=  72.2s | pag= 34 | files=  69 | data=  2 | cola= 197 | prio=10 | https://www.asfi.gob.bo/node/977
[ASFI] t=  72.8s | pag= 35 | files=  71 | data=  2 | cola= 196 | prio=10 | https://www.asfi.gob.bo/node/980
