================================================================================
CRAWLER V2
================================================================================
Fuente: Administradora de Tarjetas de Crédito
URL configurada: https://www.redenlace.com.bo
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.redenlace.com.bo
  Utilizada: https://www.redenlace.com.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.redenlace.com.bo/

URL de trabajo: https://www.redenlace.com.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_13_ATC] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.redenlace.com.bo/
[FULL_13_ATC] t=   1.3s | pag=  1 | files=   0 | data=  0 | cola=  42 | prio=10 | https://www.redenlace.com.bo/secciones-de-interes/educacion-financiera
[FULL_13_ATC] t=   2.3s | pag=  2 | files=   0 | data=  0 | cola=  43 | prio=10 | https://www.redenlace.com.bo/secciones-de-interes/educacion-financiera/aprendiendo-con-red-enlace
[FULL_13_ATC] t=   2.7s | pag=  3 | files=   0 | data=  0 | cola=  42 | prio=10 | https://www.redenlace.com.bo/secciones-de-interes/educacion-financiera/programa-de-educacion-financiera
[FULL_13_ATC] t=   3.5s | pag=  4 | files=   8 | data=  0 | cola=  41 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes/solicitud-de-reembolso-activos-virtuales
[FULL_13_ATC] t=   4.1s | pag=  5 | files=   8 | data=  0 | cola=  40 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes/punto-de-reclamo
[FULL_13_ATC] t=   4.8s | pag=  6 | files=   8 | data=  0 | cola=  39 | prio=50 | https://www.redenlace.com.bo/productos-y-servicios
[FULL_13_ATC] t=   5.9s | pag=  7 | files=   8 | data=  0 | cola=  45 | prio=50 | https://www.redenlace.com.bo/soporte
[FULL_13_ATC] t=   6.8s | pag=  8 | files=   8 | data=  0 | cola=  47 | prio=50 | https://www.redenlace.com.bo/sobre-red-enlace
[FULL_13_ATC] t=   7.6s | pag=  9 | files=   8 | data=  0 | cola=  46 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes
[FULL_13_ATC] t=   8.1s | pag= 10 | files=   8 | data=  0 | cola=  45 | prio=50 | https://www.redenlace.com.bo/afiliate-en-linea
[FULL_13_ATC] t=   8.9s | pag= 11 | files=   8 | data=  0 | cola=  44 | prio=50 | https://portal.redenlace.com.bo/
[FULL_13_ATC] t=  10.0s | pag= 12 | files=   8 | data=  0 | cola=  43 | prio=50 | https://afiliaciones.redenlace.com.bo/Solicitud/Externo/Mantenimiento
[FULL_13_ATC] t=  10.8s | pag= 13 | files=   8 | data=  0 | cola=  42 | prio=50 | https://www.redenlace.com.bo/productos-y-servicios/quiero-cobrar-con-tarjeta-en-mi-negocio
[FULL_13_ATC] t=  11.4s | pag= 14 | files=   8 | data=  0 | cola=  43 | prio=50 | https://www.redenlace.com.bo/productos-y-servicios/quiero-cobrar-por-internet-en-mi-tienda-virtual
[FULL_13_ATC] t=  12.4s | pag= 15 | files=   8 | data=  0 | cola=  42 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes/blog/activos-virtuales
[FULL_13_ATC] t=  13.3s | pag= 16 | files=   8 | data=  0 | cola=  41 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes/blog/varias-formas-de-cobrar-con-red-enlace
[FULL_13_ATC] t=  14.0s | pag= 17 | files=   8 | data=  0 | cola=  40 | prio=50 | https://www.redenlace.com.bo/pix
[FULL_13_ATC] t=  14.8s | pag= 17 | files=   8 | data=  0 | cola=  39 | prio=50 | https://www.redenlace.com.bo/sobre-red-enlace/la-red-mas-segura-de-bolivia
[FULL_13_ATC] t=  16.0s | pag= 18 | files=   8 | data=  0 | cola=  38 | prio=50 | https://www.redenlace.com.bo/productos-y-servicios/enlazate-online
[FULL_13_ATC] t=  16.7s | pag= 19 | files=   8 | data=  0 | cola=  38 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes/blog/red-enlace-acepta-las-exclusivas-tarjetas-american-express
[FULL_13_ATC] t=  17.2s | pag= 20 | files=   8 | data=  0 | cola=  37 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes/blog
[FULL_13_ATC] t=  17.9s | pag= 21 | files=   8 | data=  0 | cola=  36 | prio=50 | https://www.redenlace.com.bo/secciones-de-interes/blog/declaracion-de-privacidad-y-confidencialidad-de-la-informacion-de-la-app-de-portal-de-comercios
[FULL_13_ATC] t=  18.4s | pag= 22 | files=   8 | data=  0 | cola=  35 | prio=50 | https://www.redenlace.com.bo/soporte/tutoriales
[FULL_13_ATC] t=  19.1s | pag= 23 | files=   8 | data=  0 | cola=  41 | prio=50 | https://www.redenlace.com.bo/soporte/tutoriales/tutoriales-pos/medidas-de-seguridad-con-tu-pos
[FULL_13_ATC] t=  19.9s | pag= 24 | files=   8 | data=  0 | cola=  43 | prio=50 | https://www.redenlace.com.bo/soporte/tutoriales/tutoriales-enlazate-online-eon/que-es-eon-enlazate-online-de-red-enlace
[FULL_13_ATC] t=  20.5s | pag= 25 | files=   8 | data=  0 | cola=  45 | prio=50 | https://www.redenlace.com.bo/soporte/tutoriales/tutoriales-multicobro-en-los-newpos/tutorial-transaccion-qr-simple-con-red-enlace
[FULL_13_ATC] t=  21.0s | pag= 26 | files=   8 | data=  0 | cola=  47 | prio=50 | https://www.redenlace.com.bo/sobre-red-enlace/memorias
