================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[BCB] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.bcb.gob.bo/
[BCB] t=   2.5s | pag=  1 | files=  17 | data=  0 | cola= 106 | prio= 2 | https://www.bcb.gob.bo/?q=pub_memorias-institucionales
[BCB] t=   3.7s | pag=  2 | files= 111 | data=  0 | cola= 156 | prio= 2 | https://www.bcb.gob.bo/?q=moneda-mercado-diario
[BCB] t=   5.1s | pag=  3 | files= 111 | data=  0 | cola= 155 | prio= 2 | https://www.bcb.gob.bo/?q=moneda-mercado-semanal
[BCB] t=   6.2s | pag=  4 | files= 121 | data=  0 | cola= 163 | prio= 2 | https://www.bcb.gob.bo/?q=informe-vigilancia-sistema-pagos
[BCB] t=   7.8s | pag=  5 | files= 131 | data=  0 | cola= 163 | prio= 2 | https://www.bcb.gob.bo/?q=pub_informes-sobre-inversion
[BCB] t=   8.8s | pag=  6 | files= 131 | data=  0 | cola= 162 | prio= 2 | https://www.bcb.gob.bo/?q=reservas_internacionales_bcb
[BCB] t=  10.3s | pag=  7 | files= 139 | data=  0 | cola= 161 | prio= 2 | https://www.bcb.gob.bo/?q=marco-normativo
[BCB] t=  11.5s | pag=  8 | files= 143 | data=  0 | cola= 160 | prio= 2 | https://www.bcb.gob.bo/?q=informes-deuda-externa-publica
[BCB] t=  13.2s | pag=  9 | files= 143 | data=  0 | cola= 159 | prio= 2 | https://www.bcb.gob.bo/?q=content%2Festados-de-la-deuda-externa
[BCB] t=  14.5s | pag= 10 | files= 143 | data=  0 | cola= 159 | prio= 2 | https://www.bcb.gob.bo/?q=informe-de-estabilidad-financiera
[BCB] t=  15.9s | pag= 11 | files= 152 | data=  0 | cola= 161 | prio= 2 | https://www.bcb.gob.bo/?q=operaciones-mercado-abierto
[BCB] t=  17.3s | pag= 12 | files= 152 | data=  0 | cola= 160 | prio= 2 | https://www.bcb.gob.bo/?q=pub_informe-vigilancia-sistema-pagos
[BCB] t=  18.5s | pag= 13 | files= 152 | data=  0 | cola= 159 | prio= 2 | https://www.bcb.gob.bo/?q=pub_reporte-balanza-pagos
[BCB] t=  19.6s | pag= 14 | files= 152 | data=  0 | cola= 158 | prio= 2 | https://www.bcb.gob.bo/?q=pub_reporte-deuda-externa-privada
[BCB] t=  21.0s | pag= 15 | files= 152 | data=  0 | cola= 157 | prio= 2 | https://www.bcb.gob.bo/?q=boletines-mensuales
[BCB] t=  22.1s | pag= 16 | files= 164 | data=  0 | cola= 165 | prio= 2 | https://www.bcb.gob.bo/?q=reporte-estadistico
[BCB] DATASETS=1 | exportable_data_page | https://www.bcb.gob.bo/?q=reporte-estadistico
[BCB] t=  23.5s | pag= 17 | files= 197 | data=  1 | cola= 173 | prio= 2 | https://www.bcb.gob.bo/?q=pub_serie-compendios-jornada-monetaria
[BCB] t=  24.6s | pag= 18 | files= 204 | data=  1 | cola= 172 | prio= 2 | https://www.bcb.gob.bo/?q=pub_serie-compendios-encuentro-economistas-bolivia
[BCB] t=  26.0s | pag= 19 | files= 214 | data=  1 | cola= 172 | prio= 2 | https://www.bcb.gob.bo/?q=content%2Ftipo-de-cambio-oficial-del-d%C3%B3lar-estadounidense
[BCB] t=  27.3s | pag= 20 | files= 214 | data=  1 | cola= 172 | prio= 2 | https://www.bcb.gob.bo/?q=content%2Ftipo-de-cambio-oficial-del-d%C3%B3lar-estadounidense-serie-de-tiempo
[BCB] t=  29.0s | pag= 21 | files= 214 | data=  1 | cola= 172 | prio= 2 | https://www.bcb.gob.bo/?q=content%2Fvalor-referencial-de-compra-del-d%C3%B3lar-estadounidense-3
[BCB] t=  30.5s | pag= 22 | files= 214 | data=  1 | cola= 174 | prio= 2 | https://www.bcb.gob.bo/?q=servicios%2Fufv%2Fdatos_estadisticos
[BCB] DATASETS=2 | data_html_table | https://www.bcb.gob.bo/?q=servicios%2Fufv%2Fdatos_estadisticos
[BCB] t=  32.0s | pag= 23 | files= 214 | data=  2 | cola= 176 | prio= 2 | https://www.bcb.gob.bo/?q=indicadores_inflacion
[BCB] DATASETS=3 | data_html_table | https://www.bcb.gob.bo/?q=indicadores_inflacion
[BCB] t=  33.5s | pag= 24 | files= 214 | data=  3 | cola= 186 | prio= 2 | https://www.bcb.gob.bo/?q=content%2Fverificador-de-n%C3%BAmero-de-serie
[BCB] t=  34.7s | pag= 25 | files= 214 | data=  3 | cola= 185 | prio= 2 | https://www.bcb.gob.bo/calculadora-ufv/
[BCB] t=  35.8s | pag= 26 | files= 214 | data=  3 | cola= 184 | prio= 2 | https://www.bcb.gob.bo/?q=encuesta_publicaciones
[BCB] t=  37.9s | pag= 27 | files= 214 | data=  3 | cola= 183 | prio= 2 | https://www.bcb.gob.bo/?q=pub_boletin-estadistico
[BCB] t=  39.3s | pag= 28 | files= 389 | data=  3 | cola= 190 | prio= 2 | https://www.bcb.gob.bo/?q=publicaciones_dtr
[BCB] t=  40.5s | pag= 29 | files= 399 | data=  3 | cola= 200 | prio= 2 | https://www.bcb.gob.bo/?q=pub_documentos-trabajo
[BCB] DATASETS=4 | exportable_data_page | https://www.bcb.gob.bo/?q=pub_documentos-trabajo
[BCB] t=  41.8s | pag= 30 | files= 429 | data=  4 | cola= 203 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=pub_memorias-institucionales
[BCB] t=  43.0s | pag= 31 | files= 539 | data=  4 | cola= 202 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=pub_memorias-institucionales
[BCB] t= 108.4s | pag= 32 | files= 614 | data=  4 | cola= 201 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=pub_memorias-institucionales
[BCB] t= 313.1s | pag= 33 | files= 686 | data=  4 | cola= 200 | prio= 2 | https://www.bcb.gob.bo/?page=4&q=pub_memorias-institucionales
[BCB] t= 425.7s | pag= 34 | files= 726 | data=  4 | cola= 199 | prio= 2 | https://www.bcb.gob.bo/?page=1&q=moneda-mercado-semanal
[BCB] t= 427.5s | pag= 35 | files= 736 | data=  4 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?page=2&q=moneda-mercado-semanal
[BCB] t= 429.2s | pag= 36 | files= 746 | data=  4 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=3&q=moneda-mercado-semanal
