fila_excel;fuente;institucion;url;url_utilizada;uso_fallback;crawler_asignado;id_fuente;paginas;archivos;datasets;recursos_json;urls_unicas;duplicados_url;formatos;errores;motivo_parada;duracion_crawler;duracion_total;returncode;resultado;detalle;json_output;log_output
3;ADA;ADA Bolivia;https://www.adascz.com.bo;https://www.adascz.com.bo/;True;Brami;full_3_ada;2419;2245;4;2249;2249;0;"{""PDF"": 2245, ""WEB"": 4}";7;frontier_exhausted;2152.21;2154.41;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\003_ada.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\003_ada.log
4;AE;Autoridad de Fiscalizacion de Electricidad dey Tecnologia Nuclear;https://aetn.gob.bo;https://aetn.gob.bo/;True;Rolando;aetn;276;270;130;400;400;0;"{""DOC"": 1, ""DOCX"": 5, ""PDF"": 261, ""RAR"": 1, ""WEB"": 130, ""XLSX"": 2}";4;frontier_exhausted;262.38;264.62;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\004_ae.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\004_ae.log
5;ANAPO;Asociación de Productores de Oleaginosas y Trigo;https://www.anapobolivia.org;https://anapobolivia.org/;True;Alex;full_5_anapo;180;99;9;108;108;0;"{""PDF"": 99, ""WEB"": 9}";14;frontier_exhausted;309.64;312.84;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\005_anapo.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\005_anapo.log
6;APS;Autoridad de Fiscalización y Control de Pensiones y Seguros;https://www.aps.gob.bo;https://www.aps.gob.bo/;True;Alex;full_6_aps;140;1067;1;1068;1068;0;"{""DOCX"": 1, ""PDF"": 984, ""WEB"": 1, ""XLSX"": 76, ""ZIP"": 6}";2;frontier_exhausted;127.27;129.04;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\006_aps.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\006_aps.log
7;APS/SOAT;APS - Seguros SOAT;https://www.aps.gob.bo;https://www.aps.gob.bo/;True;Douglas;full_7_aps_soat;140;1067;1;1068;1068;0;"{""DOCX"": 1, ""PDF"": 984, ""WEB"": 1, ""XLSX"": 76, ""ZIP"": 6}";2;frontier_exhausted;128.71;129.79;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\007_aps_soat.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\007_aps_soat.log
8;ASFI;Autoridad de Supervisión del Sistema Financiero;https://www.asfi.gob.bo;https://www.asfi.gob.bo/;False;Douglas;asfi;1251;7604;49;7653;7653;0;"{""DOC"": 8, ""DOCX"": 2, ""PDF"": 4226, ""RAR"": 6, ""WEB"": 49, ""XLS"": 1606, ""XLSX"": 495, ""ZIP"": 1261}";6;frontier_exhausted;2553.65;2555.24;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\008_asfi.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\008_asfi.log
9;ASFI - BCB;ASFI / Banco Central de Bolivia;https://www.bcb.gob.bo;https://www.bcb.gob.bo/;False;Rolando;bcb;0;0;0;0;0;0;{};0;;0.0;6764.6;1;ERROR;main.py terminó con código 1.;;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\009_asfi_bcb.log
10;ASFI - FINRURAL;ASFI / Finrural;https://www.asfi.gob.bo;https://www.asfi.gob.bo/;True;Douglas;full_10_asfi_finrural;2097;8271;803;9074;9074;0;"{""DOC"": 8, ""DOCX"": 2, ""PDF"": 4893, ""RAR"": 6, ""WEB"": 803, ""XLS"": 1606, ""XLSX"": 495, ""ZIP"": 1261}";268;frontier_exhausted;3889.98;3891.64;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\010_asfi_finrural.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\010_asfi_finrural.log
11;ASFI-Valores;Autoridad de Supervisión del Sistema Financiero;https://www.asfi.gob.bo;https://www.asfi.gob.bo/;True;Alex;full_11_asfi_valores;2098;8521;803;9324;9324;0;"{""DOC"": 8, ""DOCX"": 2, ""PDF"": 5143, ""RAR"": 6, ""WEB"": 803, ""XLS"": 1606, ""XLSX"": 495, ""ZIP"": 1261}";267;frontier_exhausted;3959.27;3960.78;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\011_asfi_valores.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\011_asfi_valores.log
12;ASOFIN;Asociación de Instituciones Financieras de Microfinanzas de Bolivia;https://www.asofinbolivia.com;https://asofinbolivia.com/;False;Rolando;asofin;377;254;3;257;257;0;"{""DOC"": 1, ""DOCX"": 1, ""PDF"": 252, ""WEB"": 3}";1;frontier_exhausted;692.01;695.86;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\012_asofin.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\012_asofin.log
13;ATC;Administradora de Tarjetas de Crédito;https://www.redenlace.com.bo;https://www.redenlace.com.bo/;True;Brami;full_13_atc;179;57;0;57;57;0;"{""PDF"": 57}";2;frontier_exhausted;135.54;136.49;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\013_atc.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\013_atc.log
14;ATT;Autoridad de Regulación y Fiscalización de Telecomunicaciones y Transportes;https://www.att.gob.bo;https://www.att.gob.bo/;False;Rolando;att;1393;3431;267;3698;3698;0;"{""DOC"": 9, ""DOCX"": 1, ""JSON"": 5, ""PDF"": 3362, ""RAR"": 4, ""WEB"": 267, ""XLS"": 42, ""XLSX"": 4, ""ZIP"": 4}";76;frontier_exhausted;1196.1;1197.17;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\014_att.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\014_att.log
15;BBV;Bolsa Boliviana de Valores;https://www.bbv.com.bo;https://www.bbv.com.bo/;False;Rolando;bbv;430;4818;19;4837;4837;0;"{""DOC"": 4, ""DOCX"": 9, ""PDF"": 4781, ""WEB"": 19, ""XLS"": 3, ""XLSX"": 21}";14;frontier_exhausted;2070.48;2078.43;0;MAPEADO_CON_ERRORES;Generó JSON, pero hubo errores durante la exploración.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_map\015_bbv.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\full_logs\015_bbv.log
