================================================================================
CRAWLER V2
================================================================================
Fuente: Dirección General de Aeronáutica Civil
URL configurada: https://www.dgac.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.dgac.gob.bo
  Utilizada: https://www.dgac.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.dgac.gob.bo/

URL de trabajo: https://www.dgac.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_24_DGAC] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.dgac.gob.bo/
[FULL_24_DGAC] t=   1.5s | pag=  1 | files=  14 | data=  0 | cola=  76 | prio=10 | https://www.dgac.gob.bo/resena-historica/
[FULL_24_DGAC] t=   4.4s | pag=  2 | files=  14 | data=  0 | cola=  75 | prio=10 | https://www.dgac.gob.bo/boletines-y-circulares/
[FULL_24_DGAC] t=   6.1s | pag=  3 | files=  14 | data=  0 | cola=  79 | prio=10 | https://www.dgac.gob.bo/catalogo-de-datos-aeronauticos/
[FULL_24_DGAC] DATASETS=1 | data_html_table | https://www.dgac.gob.bo/catalogo-de-datos-aeronauticos/
[FULL_24_DGAC] t=   7.8s | pag=  4 | files=  24 | data=  1 | cola=  78 | prio=10 | https://www.dgac.gob.bo/reportes-de-dificultades-en-servicio/
[FULL_24_DGAC] t=   9.4s | pag=  5 | files=  36 | data=  1 | cola=  77 | prio=10 | https://www.dgac.gob.bo/formulario-de-notificacion-de-accidentesincidentes/
[FULL_24_DGAC] t=  11.2s | pag=  6 | files=  43 | data=  1 | cola=  84 | prio=10 | https://www.dgac.gob.bo/sistema-de-reportes-de-ocurrrencias-bolivia-srob/
[FULL_24_DGAC] t=  13.1s | pag=  7 | files=  43 | data=  1 | cola=  86 | prio=10 | https://sistemasweb.dgac.gob.bo/SISTEMA_SIGEDOC/Datos_Boletin_Reglamentario.aspx
[FULL_24_DGAC] DATASETS=2 | data_html_table | https://sistemasweb.dgac.gob.bo/SISTEMA_SIGEDOC/Datos_Boletin_Reglamentario.aspx
[FULL_24_DGAC] t=  15.8s | pag=  8 | files=  58 | data=  2 | cola=  85 | prio=10 | https://sistemasweb.dgac.gob.bo/SISTEMA_SIGEDOC/Datos_Circular_Instructiva.aspx
[FULL_24_DGAC] DATASETS=3 | data_html_table | https://sistemasweb.dgac.gob.bo/SISTEMA_SIGEDOC/Datos_Circular_Instructiva.aspx
[FULL_24_DGAC] t=  16.1s | pag=  9 | files=  69 | data=  3 | cola=  84 | prio=10 | https://sistemasweb.dgac.gob.bo/SISTEMA_SIGEDOC/Datos_Circular_Informativa.aspx
[FULL_24_DGAC] DATASETS=4 | data_html_table | https://sistemasweb.dgac.gob.bo/SISTEMA_SIGEDOC/Datos_Circular_Informativa.aspx
[FULL_24_DGAC] t=  16.5s | pag= 10 | files=  86 | data=  4 | cola=  83 | prio=10 | https://sistemasweb.dgac.gob.bo/SISTEMA_SIGEDOC/Datos_Exencion.aspx
[FULL_24_DGAC] DATASETS=5 | data_html_table | https://sistemasweb.dgac.gob.bo/SISTEMA_SIGEDOC/Datos_Exencion.aspx
[FULL_24_DGAC] t=  16.6s | pag= 11 | files=  87 | data=  5 | cola=  82 | prio=10 | https://www.dgac.gob.bo/registro-de-accidentes-incidentes-graves-incidentes-reportados-en-aviacion-civil-gestion-2026/
[FULL_24_DGAC] t=  18.5s | pag= 12 | files=  88 | data=  5 | cola=  81 | prio=10 | https://www.dgac.gob.bo/registro-de-accidentes-incidentes-graves-incidentes-reportados-en-aviacion-civil-gestion-2025/
[FULL_24_DGAC] t=  20.4s | pag= 13 | files=  89 | data=  5 | cola=  80 | prio=10 | https://www.dgac.gob.bo/registro-de-accidentes-incidentes-graves-incidentes-reportados-en-aviacion-civil-gestion-2022/
[FULL_24_DGAC] t=  22.4s | pag= 14 | files=  93 | data=  5 | cola=  79 | prio=10 | https://www.dgac.gob.bo/registro-de-accidentes-incidentes-graves-incidentes-reportados-en-aviacion-civil-gestion-2021-2/
[FULL_24_DGAC] t=  24.2s | pag= 15 | files=  97 | data=  5 | cola=  78 | prio=10 | https://www.dgac.gob.bo/registro-de-accidentes-incidentes-graves-incidentes-reportados-en-aviacion-civil-gestion-2020/
[FULL_24_DGAC] t=  25.9s | pag= 16 | files=  99 | data=  5 | cola=  77 | prio=10 | https://www.dgac.gob.bo/registro-de-accidentes-incidentes-graves-incidentes-reportados-en-aviacion-civil-gestion-2019/
[FULL_24_DGAC] t=  27.7s | pag= 17 | files= 107 | data=  5 | cola=  76 | prio=10 | https://www.dgac.gob.bo/registro-de-accidentes-incidentes-graves-incidentes-reportados-en-aviacion-civil-gestion-2018/
[FULL_24_DGAC] t=  29.4s | pag= 18 | files= 118 | data=  5 | cola=  75 | prio=10 | https://www.dgac.gob.bo/reporte-de-sucesos-aig-2017/
[FULL_24_DGAC] t=  31.3s | pag= 19 | files= 127 | data=  5 | cola=  74 | prio=50 | https://www.dgac.gob.bo/mensaje-del-senor-director-ejecutivo/
[FULL_24_DGAC] t=  33.0s | pag= 20 | files= 127 | data=  5 | cola=  73 | prio=50 | https://www.dgac.gob.bo/objetivos-institucionales/
[FULL_24_DGAC] t=  35.2s | pag= 21 | files= 128 | data=  5 | cola=  72 | prio=50 | https://www.dgac.gob.bo/valores-y-principios/
