================================================================================
CRAWLER V2
================================================================================
Fuente: International Telecommunication Union
URL configurada: https://www.itu.int
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.itu.int
  Utilizada: https://www.itu.int/es/Pages/default.aspx
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.itu.int/

URL de trabajo: https://www.itu.int/es/Pages/default.aspx
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_36_ITU] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.itu.int/es/Pages/default.aspx
[FULL_36_ITU] t=   2.5s | pag=  1 | files=   1 | data=  0 | cola=  75 | prio=10 | https://www.itu.int/hub/pubs/
[FULL_36_ITU] t=   4.0s | pag=  2 | files=   2 | data=  0 | cola= 107 | prio=10 | https://www.itu.int/en/ITU-D/Statistics
[FULL_36_ITU] t=   9.7s | pag=  3 | files=   2 | data=  0 | cola= 150 | prio=10 | https://www.itu.int/itu-d/reports/statistics/facts-figures-2025/
[FULL_36_ITU] DATASETS=1 | exportable_data_page | https://www.itu.int/itu-d/reports/statistics/facts-figures-2025/
[FULL_36_ITU] t=  10.3s | pag=  4 | files=   2 | data=  1 | cola= 158 | prio=10 | https://www.itu.int/hub/publication/S-REP-WTISD-2026/
[FULL_36_ITU] t=  16.6s | pag=  5 | files=   2 | data=  1 | cola= 171 | prio=10 | https://www.itu.int/highlights-report-activities/connect2030-agenda
[FULL_36_ITU] t=  17.3s | pag=  6 | files=   2 | data=  1 | cola= 170 | prio=10 | https://www.itu.int/reports/council
[FULL_36_ITU] t=  22.2s | pag=  7 | files=   2 | data=  1 | cola= 192 | prio=10 | https://www.itu.int/en/oversight-unit/Pages/report-misconduct.aspx
[FULL_36_ITU] t=  22.9s | pag=  8 | files=   2 | data=  1 | cola= 196 | prio=10 | https://www.itu.int/hub/?post_type=publication&s=
[FULL_36_ITU] t=  24.6s | pag=  9 | files=   2 | data=  1 | cola= 210 | prio=10 | https://www.itu.int/hub/publication/s-conf-plen-2022/
[FULL_36_ITU] t=  25.6s | pag= 10 | files=   2 | data=  1 | cola= 212 | prio=10 | https://www.itu.int/hub/publication/s-conf-cl-2024/
[FULL_36_ITU] t=  26.3s | pag= 11 | files=   2 | data=  1 | cola= 211 | prio=10 | https://www.itu.int/hub/publication/r-reg-rr-2024/
[FULL_36_ITU] t=  27.0s | pag= 12 | files=   2 | data=  1 | cola= 215 | prio=10 | https://www.itu.int/en/publications/Pages/default.aspx
[FULL_36_ITU] t=  30.5s | pag= 13 | files=   2 | data=  1 | cola= 216 | prio=10 | https://www.itu.int/hub/publication/t-tut-smartcity-2025-10/
[FULL_36_ITU] t=  31.5s | pag= 14 | files=   2 | data=  1 | cola= 224 | prio=10 | https://www.itu.int/hub/publication/t-joint-u4ssc-2026-10/
[FULL_36_ITU] t=  32.2s | pag= 15 | files=   2 | data=  1 | cola= 225 | prio=10 | https://www.itu.int/hub/publication/t-joint-u4ssc-2026-1/
[FULL_36_ITU] t=  32.9s | pag= 16 | files=   2 | data=  1 | cola= 224 | prio=10 | https://www.itu.int/hub/publication/d-phcb-ai_age-2026/
[FULL_36_ITU] t=  33.6s | pag= 17 | files=   2 | data=  1 | cola= 227 | prio=10 | https://www.itu.int/hub/publication/t-tut-smartcity-2019-2/
[FULL_36_ITU] t=  34.3s | pag= 18 | files=   2 | data=  1 | cola= 227 | prio=10 | https://www.itu.int/hub/publication/d-str-e_health-11-2018/
[FULL_36_ITU] t=  35.0s | pag= 19 | files=   2 | data=  1 | cola= 227 | prio=10 | https://www.itu.int/hub/publication/r-reg-rr-2020/
[FULL_36_ITU] t=  35.7s | pag= 20 | files=   2 | data=  1 | cola= 228 | prio=10 | https://www.itu.int/hub/publication/d-ind-ict_mdd-2022/
[FULL_36_ITU] t=  36.4s | pag= 21 | files=   2 | data=  1 | cola= 233 | prio=10 | https://www.itu.int/hub/publication/d-ind-ict_mdd-2023-1/
[FULL_36_ITU] t=  37.1s | pag= 22 | files=   2 | data=  1 | cola= 235 | prio=10 | https://www.itu.int/hub/publication/d-ind-ict_mdd-2023-2/
[FULL_36_ITU] t=  37.8s | pag= 23 | files=   2 | data=  1 | cola= 234 | prio=10 | https://www.itu.int/hub/publication/d-ind-ict_mdd-2024-3/
[FULL_36_ITU] t=  38.5s | pag= 24 | files=   2 | data=  1 | cola= 234 | prio=10 | https://www.itu.int/hub/publication/d-ind-global-01-2022/
[FULL_36_ITU] t=  39.2s | pag= 25 | files=   2 | data=  1 | cola= 234 | prio=10 | https://www.itu.int/en/publications/gs/Pages/default.aspx
[FULL_36_ITU] t=  46.0s | pag= 26 | files=   3 | data=  1 | cola= 308 | prio=10 | https://www.itu.int/en/publications/ITU-R/Pages/default.aspx
[FULL_36_ITU] t=  47.3s | pag= 27 | files=   3 | data=  1 | cola= 324 | prio=10 | https://www.itu.int/en/ITU-T/publications/Pages/default.aspx
[FULL_36_ITU] t=  48.0s | pag= 28 | files=   3 | data=  1 | cola= 348 | prio=10 | https://www.itu.int/en/ITU-D/Pages/itu-d-publications.aspx
[FULL_36_ITU] t=  49.3s | pag= 29 | files=  10 | data=  1 | cola= 419 | prio=10 | https://www.itu.int/en/ITU-T/publications/Pages/recs.aspx
[FULL_36_ITU] t=  50.0s | pag= 30 | files=  10 | data=  1 | cola= 464 | prio=10 | https://www.itu.int/hub/pubs/itu-maritime-publications/
[FULL_36_ITU] t=  51.8s | pag= 31 | files=  11 | data=  1 | cola= 471 | prio=10 | https://www.itu.int/hub/pubs/itu-databases-software/
[FULL_36_ITU] t=  52.7s | pag= 32 | files=  11 | data=  1 | cola= 478 | prio=10 | https://www.itu.int/itu-d/sites/statistics/ar/
[FULL_36_ITU] t=  56.7s | pag= 33 | files=  11 | data=  1 | cola= 502 | prio=10 | https://www.itu.int/itu-d/sites/statistics/zh-hans/
[FULL_36_ITU] t=  61.4s | pag= 34 | files=  11 | data=  1 | cola= 521 | prio=10 | https://www.itu.int/itu-d/sites/statistics/fr/
[FULL_36_ITU] t=  64.4s | pag= 35 | files=  11 | data=  1 | cola= 540 | prio=10 | https://www.itu.int/itu-d/sites/statistics/ru/
[FULL_36_ITU] t=  66.6s | pag= 36 | files=  11 | data=  1 | cola= 559 | prio=10 | https://www.itu.int/itu-d/sites/statistics/es/
[FULL_36_ITU] t=  69.4s | pag= 37 | files=  11 | data=  1 | cola= 575 | prio=10 | https://www.itu.int/en/ITU-D/Statistics/Pages/about.aspx
[FULL_36_ITU] t=  70.9s | pag= 38 | files=  12 | data=  1 | cola= 582 | prio=10 | https://www.itu.int/en/ITU-D/Statistics/Pages/publications/default.aspx
[FULL_36_ITU] t=  72.2s | pag= 39 | files=  13 | data=  1 | cola= 589 | prio=10 | https://www.itu.int/en/ITU-D/Statistics/Pages/events/default.aspx
[FULL_36_ITU] t=  73.6s | pag= 40 | files=  13 | data=  1 | cola= 606 | prio=10 | https://www.itu.int/itu-d/reports/statistics/idi2026/
[FULL_36_ITU] DATASETS=2 | exportable_data_page | https://www.itu.int/itu-d/reports/statistics/idi2026/
