================================================================================
CRAWLER V2
================================================================================
Fuente: Ministerio de Desarrollo Rural y Tierras
URL configurada: https://ruralytierras.gob.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://ruralytierras.gob.bo/
  Utilizada: https://ruralytierras.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://ruralytierras.gob.bo/

URL de trabajo: https://ruralytierras.gob.bo/
Seeds: 8
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[MDRYT] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   7 | prio= 0 | https://ruralytierras.gob.bo/
[MDRYT] t=   1.9s | pag=  1 | files=   2 | data=  0 | cola=  46 | prio= 0 | https://ruralytierras.gob.bo/index.php/datos/
[MDRYT] DATASETS=1 | data_html_table | https://ruralytierras.gob.bo/index.php/datos/
[MDRYT] t=   2.2s | pag=  2 | files=   2 | data=  1 | cola=  45 | prio= 0 | https://ruralytierras.gob.bo/index.php/estadisticas/
[MDRYT] t=   2.6s | pag=  3 | files=   2 | data=  1 | cola=  44 | prio= 0 | https://ruralytierras.gob.bo/index.php/reportes-de-estadisticas/
[MDRYT] t=   3.1s | pag=  4 | files=   2 | data=  1 | cola=  43 | prio= 0 | https://ruralytierras.gob.bo/index.php/boletines/
[MDRYT] t=   3.5s | pag=  5 | files=   2 | data=  1 | cola=  42 | prio= 0 | https://ruralytierras.gob.bo/index.php/memoria-intitucional/
[MDRYT] t=   3.9s | pag=  6 | files=   3 | data=  1 | cola=  41 | prio= 0 | https://ruralytierras.gob.bo/index.php/presupuesto-de-las-estrategias-intitucionales/
[MDRYT] t=   4.4s | pag=  7 | files=   7 | data=  1 | cola=  40 | prio= 0 | https://ruralytierras.gob.bo/index.php/rendicion-publica-de-cuentas/
[MDRYT] t=   5.0s | pag=  8 | files=  10 | data=  1 | cola=  39 | prio= 2 | https://ruralytierras.gob.bo/index.php/informes-de-viaje-al-exterior/
[MDRYT] t=   5.5s | pag=  9 | files=  10 | data=  1 | cola=  38 | prio=10 | https://ruralytierras.gob.bo/index.php/breve-historia-o-resena-sobre-la-creacion-y-evolucion-de-la-entidad/
[MDRYT] t=   6.0s | pag= 10 | files=  10 | data=  1 | cola=  37 | prio=15 | https://ruralytierras.gob.bo/index.php/pei-descargable/
[MDRYT] t=   6.5s | pag= 11 | files=  10 | data=  1 | cola=  36 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa-externa/
[MDRYT] t=   7.0s | pag= 12 | files=  19 | data=  1 | cola=  37 | prio=15 | https://ruralytierras.gob.bo/index.php/normativa-interna/
