================================================================================
CRAWLER V2
================================================================================
Fuente: Ministerio de Desarrollo Rural y Tierras - OAP
URL configurada: https://www.ruralytierras.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.ruralytierras.gob.bo
  Utilizada: https://ruralytierras.gob.bo/
  Fallback: sí
  Intentos: 2
    - http_error     | HTTP=500 | https://www.ruralytierras.gob.bo/
    - usable         | HTTP=200 | https://ruralytierras.gob.bo/

URL de trabajo: https://ruralytierras.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_38_MDRYT_OAP] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://ruralytierras.gob.bo/
[FULL_38_MDRYT_OAP] t=   1.6s | pag=  1 | files=   2 | data=  0 | cola=  54 | prio=10 | https://ruralytierras.gob.bo/index.php/breve-historia-o-resena-sobre-la-creacion-y-evolucion-de-la-entidad/
[FULL_38_MDRYT_OAP] t=   1.9s | pag=  2 | files=   2 | data=  0 | cola=  53 | prio=10 | https://ruralytierras.gob.bo/index.php/pei-descargable/
[FULL_38_MDRYT_OAP] t=   2.3s | pag=  3 | files=   2 | data=  0 | cola=  52 | prio=10 | https://ruralytierras.gob.bo/index.php/datos/
[FULL_38_MDRYT_OAP] DATASETS=1 | data_html_table | https://ruralytierras.gob.bo/index.php/datos/
[FULL_38_MDRYT_OAP] t=   2.8s | pag=  4 | files=   2 | data=  1 | cola=  51 | prio=10 | https://ruralytierras.gob.bo/index.php/informes-de-viaje-al-exterior/
[FULL_38_MDRYT_OAP] t=   3.3s | pag=  5 | files=   2 | data=  1 | cola=  50 | prio=50 | https://ruralytierras.gob.bo/index.php/descripcion-de-los-objetivos-y-funciones-principales-de-la-entidad-2/
[FULL_38_MDRYT_OAP] t=   3.8s | pag=  6 | files=   2 | data=  1 | cola=  49 | prio=50 | https://ruralytierras.gob.bo/index.php/memoria-intitucional/
[FULL_38_MDRYT_OAP] t=   4.3s | pag=  7 | files=   3 | data=  1 | cola=  48 | prio=50 | https://ruralytierras.gob.bo/index.php/presupuesto-de-las-estrategias-intitucionales/
[FULL_38_MDRYT_OAP] t=   4.8s | pag=  8 | files=   7 | data=  1 | cola=  47 | prio=50 | https://ruralytierras.gob.bo/index.php/informacion-sobre-las-areas-o-procesos-que-seran-auditados-durante-el-ano/
[FULL_38_MDRYT_OAP] t=   5.3s | pag=  9 | files=   8 | data=  1 | cola=  46 | prio=50 | https://ruralytierras.gob.bo/index.php/rendicion-publica-de-cuentas/
[FULL_38_MDRYT_OAP] t=   5.8s | pag= 10 | files=  11 | data=  1 | cola=  45 | prio=50 | https://ruralytierras.gob.bo/index.php/17068-2/
[FULL_38_MDRYT_OAP] t=   6.3s | pag= 11 | files=  11 | data=  1 | cola=  45 | prio=50 | https://ruralytierras.gob.bo/index.php/formulario-de-solicitud-de-informacion/
[FULL_38_MDRYT_OAP] t=   6.7s | pag= 12 | files=  11 | data=  1 | cola=  44 | prio=50 | https://ruralytierras.gob.bo/index.php/lista-tramites-page/
[FULL_38_MDRYT_OAP] t=   7.2s | pag= 13 | files=  11 | data=  1 | cola=  43 | prio=50 | https://ruralytierras.gob.bo/index.php/lista-servicios-page/
[FULL_38_MDRYT_OAP] t=   7.7s | pag= 14 | files=  11 | data=  1 | cola=  45 | prio=50 | https://ruralytierras.gob.bo/index.php/lista-comunicados-page/
[FULL_38_MDRYT_OAP] t=   8.2s | pag= 15 | files=  11 | data=  1 | cola=  44 | prio=50 | https://ruralytierras.gob.bo/index.php/comunicados-de-prensa/
[FULL_38_MDRYT_OAP] t=   8.7s | pag= 16 | files=  11 | data=  1 | cola=  48 | prio=50 | https://ruralytierras.gob.bo/index.php/normativa-externa/
[FULL_38_MDRYT_OAP] t=   9.0s | pag= 17 | files=  20 | data=  1 | cola=  49 | prio=50 | https://ruralytierras.gob.bo/index.php/normativa-interna/
[FULL_38_MDRYT_OAP] t=   9.5s | pag= 18 | files=  20 | data=  1 | cola=  48 | prio=50 | https://ruralytierras.gob.bo/index.php/personal/
[FULL_38_MDRYT_OAP] t=   9.9s | pag= 19 | files=  20 | data=  1 | cola=  47 | prio=50 | https://ruralytierras.gob.bo/index.php/nomina-de-servidores-publicos/
[FULL_38_MDRYT_OAP] t=  10.4s | pag= 20 | files=  20 | data=  1 | cola=  49 | prio=50 | https://ruralytierras.gob.bo/index.php/escala-salarial/
