================================================================================
CRAWLER V2
================================================================================
Fuente: Ministerio de Minería y Metalurgia
URL configurada: https://www.mineria.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.mineria.gob.bo
  Utilizada: https://www.mineria.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.mineria.gob.bo/

URL de trabajo: https://www.mineria.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_42_MMYM] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.mineria.gob.bo/
[FULL_42_MMYM] t=   2.1s | pag=  1 | files=   0 | data=  0 | cola=  40 | prio=10 | https://www.mineria.gob.bo/index.php/breve-historia-o-resena-sobre-la-creacion-y-evolucion-de-la-entidad/
[FULL_42_MMYM] t=   3.1s | pag=  2 | files=   0 | data=  0 | cola=  39 | prio=10 | https://www.mineria.gob.bo/index.php/pei-descargable/
[FULL_42_MMYM] t=   4.0s | pag=  3 | files=   3 | data=  0 | cola=  38 | prio=10 | https://www.mineria.gob.bo/index.php/rendicion-publica-de-cuentas/
[FULL_42_MMYM] t=   4.9s | pag=  4 | files=  13 | data=  0 | cola=  38 | prio=10 | https://www.mineria.gob.bo/index.php/boletines/
[FULL_42_MMYM] t=   5.9s | pag=  5 | files=  25 | data=  0 | cola=  38 | prio=10 | https://www.mineria.gob.bo/index.php/historico-cotizaciones-minerales/
[FULL_42_MMYM] t=   6.8s | pag=  6 | files=  25 | data=  0 | cola=  40 | prio=10 | https://www.mineria.gob.bo/index.php/boletines/page/2/
[FULL_42_MMYM] t=   7.7s | pag=  7 | files=  31 | data=  0 | cola=  40 | prio=10 | https://www.mineria.gob.bo/index.php/historico-cotizaciones-minerales/page/2/
[FULL_42_MMYM] t=   8.5s | pag=  8 | files=  31 | data=  0 | cola=  41 | prio=10 | https://www.mineria.gob.bo/index.php/historico-cotizaciones-minerales/page/3/
[FULL_42_MMYM] t=   9.4s | pag=  9 | files=  31 | data=  0 | cola=  41 | prio=10 | https://www.mineria.gob.bo/index.php/historico-cotizaciones-minerales/page/9/
[FULL_42_MMYM] t=  10.2s | pag= 10 | files=  31 | data=  0 | cola=  42 | prio=10 | https://www.mineria.gob.bo/index.php/boletines/page/1/
[FULL_42_MMYM] t=  11.4s | pag= 10 | files=  31 | data=  0 | cola=  41 | prio=10 | https://www.mineria.gob.bo/index.php/historico-cotizaciones-minerales/page/1/
[FULL_42_MMYM] t=  14.0s | pag= 10 | files=  31 | data=  0 | cola=  40 | prio=10 | https://www.mineria.gob.bo/index.php/historico-cotizaciones-minerales/page/4/
