================================================================================
CRAWLER V2
================================================================================
Fuente: Servicio Plurinacional de Registro de Comercio
URL configurada: https://www.seprec.gob.bo
Timeout HTTP: 10 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.seprec.gob.bo
  Utilizada: https://www.seprec.gob.bo/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.seprec.gob.bo/

URL de trabajo: https://www.seprec.gob.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[FULL_47_SEPREC] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.seprec.gob.bo/
[FULL_47_SEPREC] t=   2.1s | pag=  1 | files=   1 | data=  0 | cola=  54 | prio=10 | https://www.seprec.gob.bo/index.php/breve-historia-o-resena-sobre-la-creacion-y-evolucion-de-la-entidad/
[FULL_47_SEPREC] t=   3.3s | pag=  2 | files=   1 | data=  0 | cola=  53 | prio=10 | https://www.seprec.gob.bo/index.php/pei-descargable/
[FULL_47_SEPREC] t=   4.0s | pag=  3 | files=   2 | data=  0 | cola=  52 | prio=10 | https://www.seprec.gob.bo/index.php/tipo-de-unidad-economica/
[FULL_47_SEPREC] t=   4.7s | pag=  4 | files=   2 | data=  0 | cola=  51 | prio=10 | https://www.seprec.gob.bo/index.php/datos/
[FULL_47_SEPREC] DATASETS=1 | data_html_table | https://www.seprec.gob.bo/index.php/datos/
[FULL_47_SEPREC] t=   5.5s | pag=  5 | files=  14 | data=  1 | cola=  50 | prio=10 | https://www.seprec.gob.bo/index.php/boletines/
[FULL_47_SEPREC] t=   6.3s | pag=  6 | files=  18 | data=  1 | cola=  49 | prio=10 | https://www.seprec.gob.bo/index.php/informes-de-viaje-al-exterior/
[FULL_47_SEPREC] t=   7.1s | pag=  7 | files=  20 | data=  1 | cola=  48 | prio=10 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-amplia-hasta-el-31-de-julio-el-plazo-para-la-renovacion-de-la-matricula-de-comercio-en-apoyo-a-la-formalizacion-y-reactivacion-economica/
[FULL_47_SEPREC] t=   8.0s | pag=  8 | files=  20 | data=  1 | cola=  47 | prio=10 | https://www.seprec.gob.bo/index.php/nota_prensa/rendicion-publica-de-cuentas-final-seprec-reporta-perdida-millonaria-superior-a-bs-58-millones-en-la-gestion-2025/
[FULL_47_SEPREC] t=   8.8s | pag=  9 | files=  20 | data=  1 | cola=  46 | prio=50 | https://www.seprec.gob.bo/index.php/descripcion-de-los-objetivos-y-funciones-principales-de-la-entidad-2/
[FULL_47_SEPREC] t=   9.5s | pag= 10 | files=  20 | data=  1 | cola=  45 | prio=50 | https://www.seprec.gob.bo/index.php/memoria-intitucional/
[FULL_47_SEPREC] t=  10.3s | pag= 11 | files=  21 | data=  1 | cola=  44 | prio=50 | https://www.seprec.gob.bo/index.php/aprobacion-del-poa-documento-normativo/
[FULL_47_SEPREC] t=  11.1s | pag= 12 | files=  28 | data=  1 | cola=  43 | prio=50 | https://www.seprec.gob.bo/index.php/presupuesto-de-las-estrategias-intitucionales/
[FULL_47_SEPREC] t=  12.0s | pag= 13 | files=  43 | data=  1 | cola=  42 | prio=50 | https://www.seprec.gob.bo/index.php/politicas-de-la-calidad/
[FULL_47_SEPREC] t=  12.8s | pag= 14 | files=  43 | data=  1 | cola=  41 | prio=50 | https://www.seprec.gob.bo/index.php/informacion-sobre-las-areas-o-procesos-que-seran-auditados-durante-el-ano/
[FULL_47_SEPREC] t=  13.7s | pag= 15 | files=  71 | data=  1 | cola=  40 | prio=50 | https://www.seprec.gob.bo/index.php/rendicion-publica-de-cuentas/
[FULL_47_SEPREC] t=  14.5s | pag= 16 | files=  78 | data=  1 | cola=  39 | prio=50 | https://www.seprec.gob.bo/index.php/17068-2/
[FULL_47_SEPREC] t=  15.4s | pag= 17 | files=  80 | data=  1 | cola=  38 | prio=50 | https://www.seprec.gob.bo/index.php/que-es-registro-de-comercio/
[FULL_47_SEPREC] t=  16.2s | pag= 18 | files=  80 | data=  1 | cola=  37 | prio=50 | https://www.seprec.gob.bo/index.php/registro-de-comercio-en-el-estado-plurinacional/
[FULL_47_SEPREC] t=  17.1s | pag= 19 | files=  80 | data=  1 | cola=  36 | prio=50 | https://www.seprec.gob.bo/index.php/preguntas-frecuentes/
[FULL_47_SEPREC] t=  17.8s | pag= 20 | files=  80 | data=  1 | cola=  41 | prio=50 | https://www.seprec.gob.bo/index.php/folleto-guia-de-tramites/
[FULL_47_SEPREC] t=  18.5s | pag= 21 | files=  81 | data=  1 | cola=  40 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/
[FULL_47_SEPREC] t=  19.4s | pag= 22 | files=  81 | data=  1 | cola=  52 | prio=50 | https://www.seprec.gob.bo/index.php/lista-herramientas-page/
[FULL_47_SEPREC] t=  20.2s | pag= 23 | files=  81 | data=  1 | cola=  51 | prio=50 | https://www.seprec.gob.bo/index.php/lista-comunicados-page/
[FULL_47_SEPREC] t=  21.1s | pag= 24 | files=  81 | data=  1 | cola=  50 | prio=50 | https://www.seprec.gob.bo/index.php/comunicados-de-prensa/
[FULL_47_SEPREC] t=  21.9s | pag= 25 | files=  81 | data=  1 | cola=  55 | prio=10 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-supera-las-184-mil-transacciones-financieras-a-traves-de-la-pasarela-de-pagos-y-consolida-la-desburocratizacion-de-tramites/
[FULL_47_SEPREC] t=  22.6s | pag= 26 | files=  81 | data=  1 | cola=  54 | prio=50 | https://www.seprec.gob.bo/index.php/revistas/
[FULL_47_SEPREC] t=  23.5s | pag= 27 | files=  84 | data=  1 | cola=  53 | prio=50 | https://www.seprec.gob.bo/index.php/campanas-y-actividades/
[FULL_47_SEPREC] t=  24.3s | pag= 28 | files=  84 | data=  1 | cola=  59 | prio=10 | https://www.seprec.gob.bo/index.php/campania/encuesta-anual-unidades-economicas/
[FULL_47_SEPREC] t=  25.0s | pag= 29 | files=  84 | data=  1 | cola=  58 | prio=50 | https://www.seprec.gob.bo/index.php/constitucion-politica-del-estado/
[FULL_47_SEPREC] t=  25.8s | pag= 30 | files=  85 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/leyes-2/
[FULL_47_SEPREC] t=  26.6s | pag= 31 | files=  90 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/decretos-supremos/
[FULL_47_SEPREC] t=  27.3s | pag= 32 | files=  92 | data=  1 | cola=  56 | prio=50 | https://www.seprec.gob.bo/index.php/normativa-interna/
[FULL_47_SEPREC] t=  28.1s | pag= 33 | files= 102 | data=  1 | cola=  58 | prio=50 | https://www.seprec.gob.bo/index.php/reglamentos-especificos/
[FULL_47_SEPREC] t=  29.0s | pag= 34 | files= 107 | data=  1 | cola=  59 | prio=50 | https://www.seprec.gob.bo/index.php/organigrama/
[FULL_47_SEPREC] t=  29.7s | pag= 35 | files= 107 | data=  1 | cola=  58 | prio=50 | https://www.seprec.gob.bo/index.php/nomina-de-servidores-publicos-2/
[FULL_47_SEPREC] t=  30.5s | pag= 36 | files= 107 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/escala-salarial/
[FULL_47_SEPREC] t=  31.4s | pag= 37 | files= 108 | data=  1 | cola=  56 | prio=50 | https://www.seprec.gob.bo/index.php/manual-de-organizacion/
[FULL_47_SEPREC] t=  32.1s | pag= 38 | files= 109 | data=  1 | cola=  55 | prio=50 | https://www.seprec.gob.bo/index.php/poais/
[FULL_47_SEPREC] t=  32.9s | pag= 39 | files= 111 | data=  1 | cola=  54 | prio=50 | https://www.seprec.gob.bo/index.php/manuales-de-procedimiento/
[FULL_47_SEPREC] t=  33.7s | pag= 40 | files= 116 | data=  1 | cola=  53 | prio=50 | https://www.seprec.gob.bo/index.php/contrataciones/
