================================================================================
CRAWLER V2
================================================================================
Fuente: SIGMA
URL configurada: https://www.sigmacorp.com.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.sigmacorp.com.bo/
  Utilizada: https://www.sigmacorp.com.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.sigmacorp.com.bo/

URL de trabajo: https://www.sigmacorp.com.bo/
Seeds: 1
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[SIGMA] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.sigmacorp.com.bo/
[SIGMA] t=   2.4s | pag=  1 | files=   0 | data=  0 | cola=  20 | prio=10 | https://www.sigmacorp.com.bo/noticias/sigma-nutraceuticos-coordina-con-el-ministerio-de-salud-la-donacion-de-10-000-unidades-de-carmelo-y-nutribebe-a-familias-afectadas-por-desastres-naturales-en-samaipata
[SIGMA] t=   3.1s | pag=  2 | files=   0 | data=  0 | cola=  20 | prio=10 | https://www.sigmacorp.com.bo/noticias/sigmacorp-y-gih-pioneros-en-productos-naturales-para-la-salud-ahora-juntos
[SIGMA] t=   3.8s | pag=  3 | files=   0 | data=  0 | cola=  19 | prio=10 | https://www.sigmacorp.com.bo/noticias/durante-la-pandemia-del-covid-19-los-suplementos-nutricionales-mantienen-saludables-a-los-bebes
[SIGMA] t=   4.3s | pag=  4 | files=   0 | data=  0 | cola=  18 | prio=10 | https://www.sigmacorp.com.bo/noticias/bolivia-redujo-el-indice-de-desnutricion-a-15-1
[SIGMA] t=   5.0s | pag=  5 | files=   0 | data=  0 | cola=  17 | prio=10 | https://www.sigmacorp.com.bo/noticias/lanzamiento-del-complemento-nutricional-para-el-adulto-mayor-carmelo
[SIGMA] t=   5.9s | pag=  6 | files=   0 | data=  0 | cola=  16 | prio=10 | https://www.sigmacorp.com.bo/noticias/alcaldia-de-santa-cruz-lanza-complemento-alimenticio-para-combatir-la-desnutricion
[SIGMA] t=   6.4s | pag=  7 | files=   0 | data=  0 | cola=  15 | prio=10 | https://www.sigmacorp.com.bo/noticias/alimento-complementario-nutribebe-beneficio-a-mas-de-7-millones-de-ninos-bolivianos
[SIGMA] t=   7.1s | pag=  8 | files=   0 | data=  0 | cola=  14 | prio=50 | https://www.sigmacorp.com.bo/nutraceutics
[SIGMA] t=   7.7s | pag=  9 | files=   0 | data=  0 | cola=  13 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad
[SIGMA] t=   8.6s | pag= 10 | files=   0 | data=  0 | cola=  44 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics
[SIGMA] t=   9.2s | pag= 11 | files=   0 | data=  0 | cola=  55 | prio=50 | https://www.sigmacorp.com.bo/maquila
[SIGMA] t=   9.7s | pag= 12 | files=   0 | data=  0 | cola=  54 | prio=50 | https://www.sigmacorp.com.bo/rse
[SIGMA] t=  10.2s | pag= 13 | files=   0 | data=  0 | cola=  55 | prio=50 | https://www.sigmacorp.com.bo/recursos/farmacovigilancia
[SIGMA] t=  10.6s | pag= 14 | files=   0 | data=  0 | cola=  54 | prio=50 | https://admin.sigmacorp.com.bo/
