================================================================================
CRAWLER V2
================================================================================
Fuente: Bureau of Transportation Statistics - TranStats
URL configurada: https://www.transtats.bts.gov/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resolución de fuente:
  Original: https://www.transtats.bts.gov/
  Utilizada: https://www.transtats.bts.gov/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.transtats.bts.gov/

URL de trabajo: https://www.transtats.bts.gov/
Seeds: 3
Máx páginas: 200
Máx archivos: 20000
Máx profundidad: 6

[TRANSTATS] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   2 | prio= 0 | https://www.transtats.bts.gov/
[TRANSTATS] t=   2.6s | pag=  1 | files=   0 | data=  0 | cola=  54 | prio= 0 | https://www.transtats.bts.gov/DataIndex.asp
[TRANSTATS] t=   3.4s | pag=  2 | files=   0 | data=  0 | cola= 110 | prio= 0 | https://www.transtats.bts.gov/Employment/
[TRANSTATS] DATASETS=1 | data_html_table | https://www.transtats.bts.gov/Employment/
[TRANSTATS] t=   5.6s | pag=  3 | files=   0 | data=  1 | cola= 164 | prio= 1 | https://www.transtats.bts.gov/databases.asp?Z1qr_Qr5p=N8vn6v10&Z1qr_VQ=E&f7owrp6_VQF=D
[TRANSTATS] t=   6.1s | pag=  4 | files=   0 | data=  1 | cola= 182 | prio= 1 | https://www.transtats.bts.gov/databases.asp?Z1qr_Qr5p=Zn4v6vzr&Z1qr_VQ=F&f7owrp6_VQF=D
[TRANSTATS] t=   6.8s | pag=  5 | files=   0 | data=  1 | cola= 194 | prio= 1 | https://www.transtats.bts.gov/databases.asp?Z1qr_Qr5p=Uvtu9nB&Z1qr_VQ=G&f7owrp6_VQF=D
[TRANSTATS] t=   7.5s | pag=  6 | files=   0 | data=  1 | cola= 209 | prio= 1 | https://www.transtats.bts.gov/databases.asp?Z1qr_Qr5p=g4n05v6&Z1qr_VQ=H&f7owrp6_VQF=D
[TRANSTATS] t=   8.1s | pag=  7 | files=   0 | data=  1 | cola= 212 | prio= 1 | https://www.transtats.bts.gov/databases.asp?Z1qr_Qr5p=envy&Z1qr_VQ=I&f7owrp6_VQF=D
[TRANSTATS] t=   8.8s | pag=  8 | files=   0 | data=  1 | cola= 214 | prio= 1 | https://www.transtats.bts.gov/databases.asp?Z1qr_Qr5p=cv2ryv0r&Z1qr_VQ=J&f7owrp6_VQF=D
[TRANSTATS] t=   9.3s | pag=  9 | files=   0 | data=  1 | cola= 214 | prio= 1 | https://www.transtats.bts.gov/Databases.asp?Z1qr_Qr5p=Ovxr%2Fcrqr564vn0&Z1qr_VQ=K&f7owrp6_VQF=D
