fila_excel;fuente;institucion;url;url_utilizada;uso_fallback;crawler_asignado;id_fuente;paginas;archivos;datasets;recursos_json;urls_unicas;duplicados_url;formatos;errores;motivo_parada;duracion_crawler;duracion_total;returncode;resultado;detalle;json_output;log_output
9;ASFI - BCB;ASFI / Banco Central de Bolivia;https://www.bcb.gob.bo;https://www.bcb.gob.bo/;False;Rolando;bcb;0;0;0;0;0;0;{};0;;0.0;300.02;1;TIMEOUT;La fuente excedió el tiempo máximo.;;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\009_asfi_bcb.log
16;BCB;Banco Central de Bolivia;https://www.bcb.gob.bo;https://www.bcb.gob.bo/;False;Alex;bcb;0;0;0;0;0;0;{};0;;0.0;300.02;1;TIMEOUT;La fuente excedió el tiempo máximo.;;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\016_bcb.log
17;BM;Banco Mundial;https://www.worldbank.org;https://www.worldbank.org/ext/en/home;True;Alex;full_17_bm;200;393;82;475;475;0;"{""CSV"": 5, ""DOCX"": 1, ""PDF"": 321, ""WEB"": 82, ""XLSX"": 15, ""ZIP"": 51}";3;max_pages;201.86;203.84;0;INCOMPLETO_LIMITE;"El crawler alcanzó max_pages; no se considera mapeo completo.";C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_map\017_bm.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\017_bm.log
18;BOLCEREALES;Bolcereales;https://www.bolsadecereales.com;https://www.bolsadecereales.com;False;Douglas;full_18_bolcereales;0;0;0;0;0;0;{};1;frontier_exhausted;1.05;7.71;0;FUENTE_DENEGADA;La fuente respondió HTTP 403.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_map\018_bolcereales.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\018_bolcereales.log
19;CADEXCO;Cámara de Exportadores de Cochabamba;https://www.cadexco.org.bo;https://www.cadexco.org.bo;False;Brami;full_19_cadexco;0;0;0;0;0;0;{};1;frontier_exhausted;0.29;1.9;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_map\019_cadexco.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\019_cadexco.log
20;CEPAL;Comisión Económica para América Latina y el Caribe;https://www.cepal.org;https://www.cepal.org/;True;Alex;full_20_cepal;0;0;0;0;0;0;{};0;;0.0;300.03;1;TIMEOUT;La fuente excedió el tiempo máximo.;;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\020_cepal.log
21;CEPROBOL;Centro Promoción Bolivia;https://www.ceprobol.gob.bo;https://www.ceprobol.gob.bo;False;Douglas;full_21_ceprobol;0;0;0;0;0;0;{};1;frontier_exhausted;0.25;2.06;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_map\021_ceprobol.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\021_ceprobol.log
23;Data.Gov;Portal de Datos Abiertos USA;https://www.data.gov;https://data.gov/;False;Rolando;datagov;0;0;0;0;0;0;{};0;;0.0;300.02;1;TIMEOUT;La fuente excedió el tiempo máximo.;;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\023_data_gov.log
24;DGAC;Dirección General de Aeronáutica Civil;https://www.dgac.gob.bo;https://www.dgac.gob.bo/;True;Brami;full_24_dgac;0;0;0;0;0;0;{};0;;0.0;300.02;1;TIMEOUT;La fuente excedió el tiempo máximo.;;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\024_dgac.log
25;FAM;Federación de Asociaciones Municipales de Bolivia;https://www.fam.bo;https://www.fam.bo;False;Brami;full_25_fam;0;0;0;0;0;0;{};1;frontier_exhausted;0.26;1.78;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_map\025_fam.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\025_fam.log
26;FDTA-Valles;Fundación para el Desarrollo Tecnológico Agropecuario de los Valles;https://www.icco.org;https://www.icco.org/;True;Douglas;full_26_fdta_valles;0;0;0;0;0;0;{};0;;0.0;300.02;1;TIMEOUT;La fuente excedió el tiempo máximo.;;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\026_fdta_valles.log
27;FEGASACRUZ;Federación de Ganaderos de Santa Cruz;https://www.fegasacruz.org.bo;https://www.fegasacruz.org.bo;False;Alex;full_27_fegasacruz;0;0;0;0;0;0;{};1;frontier_exhausted;0.16;1.32;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_map\027_fegasacruz.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\027_fegasacruz.log
28;FIFA;Federación Internacional de Fútbol Asociación;https://www.fifa.com;https://www.fifa.com/;True;Brami;full_28_fifa;1;0;0;0;0;0;{};0;frontier_exhausted;1.29;3.55;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_map\028_fifa.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\028_fifa.log
29;FINRURAL/indicadores;Finrural Bolivia;https://www.finrural.bo;https://www.finrural.bo;False;Alex;full_29_finrural_indicadores;0;0;0;0;0;0;{};1;frontier_exhausted;0.29;1.7;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_map\029_finrural_indicadores.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\029_finrural_indicadores.log
30;FMI;Fondo Monetario Internacional;https://www.imf.org;https://www.imf.org;False;Alex;full_30_fmi;0;0;0;0;0;0;{};1;frontier_exhausted;1.05;5.5;0;FUENTE_DENEGADA;La fuente respondió HTTP 403.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_map\030_fmi.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\030_fmi.log
31;FUNDEMPRESA;Registro de Comercio de Bolivia;https://www.fundempresa.org.bo;http://www.fundempresa.org.bo/;True;Brami;full_31_fundempresa;1;0;0;0;0;0;{};0;frontier_exhausted;1.08;4.0;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_map\031_fundempresa.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\031_fundempresa.log
32;IBCE - CAO;Instituto Boliviano de Comercio Exterior / Cámara Agropecuaria del Oriente;https://www.ibce.org.bo;https://ibce.org.bo/;True;Rolando;ibce;200;177;67;244;244;0;"{""PDF"": 177, ""WEB"": 67}";0;max_pages;116.92;121.68;0;INCOMPLETO_LIMITE;"El crawler alcanzó max_pages; no se considera mapeo completo.";C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_map\032_ibce_cao.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\032_ibce_cao.log
33;IBCH;Instituto Boliviano del Cemento y Hormigón;https://www.ibch.org.bo;https://www.ibch.org.bo;False;Douglas;full_33_ibch;0;0;0;0;0;0;{};1;frontier_exhausted;0.2;1.6;0;SIN_RECURSOS;Terminó sin recursos catalogados.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_map\033_ibch.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\quick_logs\033_ibch.log
