================================================================================
CRAWLER V2
================================================================================
Fuente: C�mara de Exportadores de Cochabamba
URL configurada: https://cadexco.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://cadexco.bo/
  Utilizada: https://cadexco.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://cadexco.bo/

URL de trabajo: https://cadexco.bo/
Seeds: 1
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_02_CADEXCO] SITEMAP | docs=6 | urls=215 | en_cola=214 | errores=0
[RETRY_02_CADEXCO] t=  16.7s | pag=  0 | files=   0 | data=  0 | cola= 214 | prio= 0 | https://cadexco.bo/
[RETRY_02_CADEXCO] t=  17.5s | pag=  1 | files=   0 | data=  0 | cola= 214 | prio=25 | https://cadexco.bo/tarjetas/
[RETRY_02_CADEXCO] t=  18.8s | pag=  2 | files=   0 | data=  0 | cola= 213 | prio=25 | https://cadexco.bo/contacto/
[RETRY_02_CADEXCO] t=  20.4s | pag=  3 | files=   0 | data=  0 | cola= 212 | prio=25 | https://cadexco.bo/directorio/
[RETRY_02_CADEXCO] t=  22.0s | pag=  4 | files=   0 | data=  0 | cola= 211 | prio=25 | https://cadexco.bo/estatutos/
[RETRY_02_CADEXCO] t=  23.4s | pag=  5 | files=   0 | data=  0 | cola= 210 | prio=25 | https://cadexco.bo/page-title-version-4/
[RETRY_02_CADEXCO] t=  24.9s | pag=  6 | files=   0 | data=  0 | cola= 209 | prio=25 | https://cadexco.bo/historia/
[RETRY_02_CADEXCO] t=  26.4s | pag=  7 | files=   0 | data=  0 | cola= 208 | prio=25 | https://cadexco.bo/home-5/
[RETRY_02_CADEXCO] t=  28.4s | pag=  8 | files=   1 | data=  0 | cola= 207 | prio=25 | https://cadexco.bo/nuestraentidad/
[RETRY_02_CADEXCO] t=  30.0s | pag=  9 | files=   1 | data=  0 | cola= 206 | prio=25 | https://cadexco.bo/gestion/
[RETRY_02_CADEXCO] t=  31.6s | pag= 10 | files=   1 | data=  0 | cola= 205 | prio=25 | https://cadexco.bo/promocion/
[RETRY_02_CADEXCO] t=  33.2s | pag= 11 | files=   1 | data=  0 | cola= 204 | prio=25 | https://cadexco.bo/requsitos/
[RETRY_02_CADEXCO] t=  34.8s | pag= 12 | files=   1 | data=  0 | cola= 203 | prio=25 | https://cadexco.bo/event-directory/
[RETRY_02_CADEXCO] t=  36.2s | pag= 13 | files=   1 | data=  0 | cola= 202 | prio=25 | https://cadexco.bo/asesoramiento/
[RETRY_02_CADEXCO] t=  37.9s | pag= 14 | files=   1 | data=  0 | cola= 201 | prio=25 | https://cadexco.bo/calendario/
[RETRY_02_CADEXCO] t=  39.5s | pag= 15 | files=   1 | data=  0 | cola= 206 | prio=25 | https://cadexco.bo/operaciones-pre-y-post-embarque/
[RETRY_02_CADEXCO] t=  40.9s | pag= 16 | files=   1 | data=  0 | cola= 205 | prio=25 | https://cadexco.bo/promocion-comercial/
[RETRY_02_CADEXCO] t=  42.0s | pag= 17 | files=   1 | data=  0 | cola= 204 | prio=25 | https://cadexco.bo/actualizacion/
[RETRY_02_CADEXCO] t=  43.4s | pag= 18 | files=   1 | data=  0 | cola= 203 | prio=25 | https://cadexco.bo/noticias/
[RETRY_02_CADEXCO] t=  44.9s | pag= 19 | files=   1 | data=  0 | cola= 202 | prio=25 | https://cadexco.bo/acuerdos/
[RETRY_02_CADEXCO] t=  46.2s | pag= 20 | files=   3 | data=  0 | cola= 201 | prio=25 | https://cadexco.bo/inteligencia/
