================================================================================
CRAWLER V2
================================================================================
Fuente: Federaci�n Internacional de F�tbol Asociaci�n
URL configurada: https://inside.fifa.com/en/official-documents
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://inside.fifa.com/en/official-documents
  Utilizada: https://inside.fifa.com/en/official-documents
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://inside.fifa.com/en/official-documents

URL de trabajo: https://inside.fifa.com/en/official-documents
Seeds: 3
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_07_FIFA] SITEMAP | docs=6 | urls=5000 | en_cola=5000 | errores=0
[RETRY_07_FIFA] t=  20.0s | pag=  0 | files=   0 | data=  0 | cola=5002 | prio= 0 | https://inside.fifa.com/en/official-documents
[RETRY_07_FIFA] t=  20.4s | pag=  1 | files=   0 | data=  0 | cola=5009 | prio= 0 | https://inside.fifa.com/en/legal/documents
[RETRY_07_FIFA] t=  25.7s | pag=  2 | files=   0 | data=  0 | cola=5020 | prio= 0 | https://inside.fifa.com/organisation/divisions/finances
[RETRY_07_FIFA] t=  28.1s | pag=  3 | files=   4 | data=  0 | cola=5025 | prio=10 | https://inside.fifa.com/legal/documents
[RETRY_07_FIFA] t=  33.9s | pag=  4 | files=   4 | data=  0 | cola=5024 | prio=10 | https://inside.fifa.com/official-documents/annual-report/2025
[RETRY_07_FIFA] t=  37.9s | pag=  5 | files=   5 | data=  0 | cola=5029 | prio=10 | https://inside.fifa.com/official-documents/annual-report/2024
[RETRY_07_FIFA] t=  42.4s | pag=  6 | files=   6 | data=  0 | cola=5033 | prio=10 | https://inside.fifa.com/official-documents/annual-report-2023
[RETRY_07_FIFA] t=  49.1s | pag=  7 | files=   7 | data=  0 | cola=5035 | prio=10 | https://publications.fifa.com/en/annual-report-2022
[RETRY_07_FIFA] t=  52.7s | pag=  8 | files=   8 | data=  0 | cola=5110 | prio=10 | https://publications.fifa.com/en/annual-report-2021
[RETRY_07_FIFA] t=  54.1s | pag=  9 | files=   9 | data=  0 | cola=5166 | prio=10 | https://publications.fifa.com/en/annual-report-2020/
[RETRY_07_FIFA] t=  55.7s | pag= 10 | files=  10 | data=  0 | cola=5195 | prio=10 | https://inside.fifa.com/official-documents/annual-report/2025/highlights
[RETRY_07_FIFA] t=  60.8s | pag= 11 | files=  10 | data=  0 | cola=5194 | prio=10 | https://inside.fifa.com/official-documents/annual-report/2025/roll-of-honour-2025
