================================================================================
CRAWLER V2
================================================================================
Fuente: FINRURAL Bolivia
URL configurada: https://www.finrural.org.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.finrural.org.bo/
  Utilizada: https://www.finrural.org.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.finrural.org.bo/

URL de trabajo: https://www.finrural.org.bo/
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_08_FINRURAL_INDICADORES] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=2
[RETRY_08_FINRURAL_INDICADORES] t=   8.3s | pag=  0 | files=   0 | data=  0 | cola=   1 | prio= 0 | https://www.finrural.org.bo/
[RETRY_08_FINRURAL_INDICADORES] DATASETS=1 | data_html_table | https://www.finrural.org.bo/
[RETRY_08_FINRURAL_INDICADORES] t=  10.1s | pag=  1 | files=   0 | data=  1 | cola=  22 | prio= 0 | https://www.finrural.org.bo/reporte-financiero-mensual-instituciones-financieras-de-desarrollo/
[RETRY_08_FINRURAL_INDICADORES] t=  11.2s | pag=  2 | files= 126 | data=  1 | cola= 147 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2026/financiera_01_2026-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  11.3s | pag=  2 | files= 126 | data=  1 | cola= 146 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2026/financiera_02_2026-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  12.5s | pag=  2 | files= 126 | data=  1 | cola= 145 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2026/financiera_03_2026-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  13.7s | pag=  2 | files= 126 | data=  1 | cola= 144 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2026/financiera_04_2026-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  14.9s | pag=  2 | files= 126 | data=  1 | cola= 143 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2026/financiera_05_2026-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  16.0s | pag=  2 | files= 126 | data=  1 | cola= 142 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2026/financiera_06_2026-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  17.3s | pag=  2 | files= 126 | data=  1 | cola= 141 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2025/financiera_01_2025-pdf.sha
[RETRY_08_FINRURAL_INDICADORES] t=  18.4s | pag=  2 | files= 126 | data=  1 | cola= 140 | prio=10 | https://www.finrural.org.bo/archivos/info_financiera/2025/financiera_02_2025-pdf.sha
