================================================================================
CRAWLER V2
================================================================================
Fuente: Registro de Comercio de Bolivia
URL configurada: https://www.seprec.gob.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.seprec.gob.bo/
  Utilizada: https://www.seprec.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.seprec.gob.bo/

URL de trabajo: https://www.seprec.gob.bo/
Seeds: 1
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_10_FUNDEMPRESA] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=0
[RETRY_10_FUNDEMPRESA] t=   7.3s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.seprec.gob.bo/
[RETRY_10_FUNDEMPRESA] t=   9.4s | pag=  1 | files=   1 | data=  0 | cola=  54 | prio=10 | https://www.seprec.gob.bo/index.php/breve-historia-o-resena-sobre-la-creacion-y-evolucion-de-la-entidad/
[RETRY_10_FUNDEMPRESA] t=  10.2s | pag=  2 | files=   1 | data=  0 | cola=  53 | prio=10 | https://www.seprec.gob.bo/index.php/pei-descargable/
[RETRY_10_FUNDEMPRESA] t=  11.0s | pag=  3 | files=   2 | data=  0 | cola=  52 | prio=10 | https://www.seprec.gob.bo/index.php/tipo-de-unidad-economica/
[RETRY_10_FUNDEMPRESA] t=  11.8s | pag=  4 | files=   2 | data=  0 | cola=  51 | prio=10 | https://www.seprec.gob.bo/index.php/datos/
[RETRY_10_FUNDEMPRESA] DATASETS=1 | data_html_table | https://www.seprec.gob.bo/index.php/datos/
[RETRY_10_FUNDEMPRESA] t=  12.5s | pag=  5 | files=  14 | data=  1 | cola=  50 | prio=10 | https://www.seprec.gob.bo/index.php/boletines/
[RETRY_10_FUNDEMPRESA] t=  13.3s | pag=  6 | files=  18 | data=  1 | cola=  49 | prio=10 | https://www.seprec.gob.bo/index.php/informes-de-viaje-al-exterior/
[RETRY_10_FUNDEMPRESA] t=  14.2s | pag=  7 | files=  20 | data=  1 | cola=  48 | prio=10 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-amplia-hasta-el-31-de-julio-el-plazo-para-la-renovacion-de-la-matricula-de-comercio-en-apoyo-a-la-formalizacion-y-reactivacion-economica/
[RETRY_10_FUNDEMPRESA] t=  15.0s | pag=  8 | files=  20 | data=  1 | cola=  47 | prio=10 | https://www.seprec.gob.bo/index.php/nota_prensa/rendicion-publica-de-cuentas-final-seprec-reporta-perdida-millonaria-superior-a-bs-58-millones-en-la-gestion-2025/
[RETRY_10_FUNDEMPRESA] t=  15.7s | pag=  9 | files=  20 | data=  1 | cola=  46 | prio=50 | https://www.seprec.gob.bo/index.php/descripcion-de-los-objetivos-y-funciones-principales-de-la-entidad-2/
[RETRY_10_FUNDEMPRESA] t=  16.5s | pag= 10 | files=  20 | data=  1 | cola=  45 | prio=50 | https://www.seprec.gob.bo/index.php/memoria-intitucional/
[RETRY_10_FUNDEMPRESA] t=  18.5s | pag= 11 | files=  21 | data=  1 | cola=  44 | prio=50 | https://www.seprec.gob.bo/index.php/aprobacion-del-poa-documento-normativo/
[RETRY_10_FUNDEMPRESA] t=  19.2s | pag= 12 | files=  28 | data=  1 | cola=  43 | prio=50 | https://www.seprec.gob.bo/index.php/presupuesto-de-las-estrategias-intitucionales/
[RETRY_10_FUNDEMPRESA] t=  20.1s | pag= 13 | files=  43 | data=  1 | cola=  42 | prio=50 | https://www.seprec.gob.bo/index.php/politicas-de-la-calidad/
[RETRY_10_FUNDEMPRESA] t=  20.9s | pag= 14 | files=  43 | data=  1 | cola=  41 | prio=50 | https://www.seprec.gob.bo/index.php/informacion-sobre-las-areas-o-procesos-que-seran-auditados-durante-el-ano/
[RETRY_10_FUNDEMPRESA] t=  21.8s | pag= 15 | files=  71 | data=  1 | cola=  40 | prio=50 | https://www.seprec.gob.bo/index.php/rendicion-publica-de-cuentas/
[RETRY_10_FUNDEMPRESA] t=  22.6s | pag= 16 | files=  78 | data=  1 | cola=  39 | prio=50 | https://www.seprec.gob.bo/index.php/17068-2/
[RETRY_10_FUNDEMPRESA] t=  23.5s | pag= 17 | files=  80 | data=  1 | cola=  38 | prio=50 | https://www.seprec.gob.bo/index.php/que-es-registro-de-comercio/
[RETRY_10_FUNDEMPRESA] t=  24.3s | pag= 18 | files=  80 | data=  1 | cola=  37 | prio=50 | https://www.seprec.gob.bo/index.php/registro-de-comercio-en-el-estado-plurinacional/
[RETRY_10_FUNDEMPRESA] t=  25.0s | pag= 19 | files=  80 | data=  1 | cola=  36 | prio=50 | https://www.seprec.gob.bo/index.php/preguntas-frecuentes/
[RETRY_10_FUNDEMPRESA] t=  25.7s | pag= 20 | files=  80 | data=  1 | cola=  41 | prio=50 | https://www.seprec.gob.bo/index.php/folleto-guia-de-tramites/
[RETRY_10_FUNDEMPRESA] t=  26.4s | pag= 21 | files=  81 | data=  1 | cola=  40 | prio=50 | https://www.seprec.gob.bo/index.php/lista-servicios-page/
[RETRY_10_FUNDEMPRESA] t=  27.3s | pag= 22 | files=  81 | data=  1 | cola=  52 | prio=50 | https://www.seprec.gob.bo/index.php/lista-herramientas-page/
[RETRY_10_FUNDEMPRESA] t=  28.0s | pag= 23 | files=  81 | data=  1 | cola=  51 | prio=50 | https://www.seprec.gob.bo/index.php/lista-comunicados-page/
[RETRY_10_FUNDEMPRESA] t=  28.9s | pag= 24 | files=  81 | data=  1 | cola=  50 | prio=50 | https://www.seprec.gob.bo/index.php/comunicados-de-prensa/
[RETRY_10_FUNDEMPRESA] t=  29.8s | pag= 25 | files=  81 | data=  1 | cola=  55 | prio=10 | https://www.seprec.gob.bo/index.php/nota_prensa/seprec-supera-las-184-mil-transacciones-financieras-a-traves-de-la-pasarela-de-pagos-y-consolida-la-desburocratizacion-de-tramites/
[RETRY_10_FUNDEMPRESA] t=  30.6s | pag= 26 | files=  81 | data=  1 | cola=  54 | prio=50 | https://www.seprec.gob.bo/index.php/revistas/
[RETRY_10_FUNDEMPRESA] t=  31.4s | pag= 27 | files=  84 | data=  1 | cola=  53 | prio=50 | https://www.seprec.gob.bo/index.php/campanas-y-actividades/
[RETRY_10_FUNDEMPRESA] t=  32.2s | pag= 28 | files=  84 | data=  1 | cola=  59 | prio=10 | https://www.seprec.gob.bo/index.php/campania/encuesta-anual-unidades-economicas/
[RETRY_10_FUNDEMPRESA] t=  32.9s | pag= 29 | files=  84 | data=  1 | cola=  58 | prio=50 | https://www.seprec.gob.bo/index.php/constitucion-politica-del-estado/
[RETRY_10_FUNDEMPRESA] t=  33.7s | pag= 30 | files=  85 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/leyes-2/
[RETRY_10_FUNDEMPRESA] t=  34.4s | pag= 31 | files=  90 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/decretos-supremos/
[RETRY_10_FUNDEMPRESA] t=  35.3s | pag= 32 | files=  92 | data=  1 | cola=  56 | prio=50 | https://www.seprec.gob.bo/index.php/normativa-interna/
[RETRY_10_FUNDEMPRESA] t=  36.3s | pag= 33 | files= 102 | data=  1 | cola=  58 | prio=50 | https://www.seprec.gob.bo/index.php/reglamentos-especificos/
[RETRY_10_FUNDEMPRESA] t=  37.1s | pag= 34 | files= 107 | data=  1 | cola=  59 | prio=50 | https://www.seprec.gob.bo/index.php/organigrama/
[RETRY_10_FUNDEMPRESA] t=  37.9s | pag= 35 | files= 107 | data=  1 | cola=  58 | prio=50 | https://www.seprec.gob.bo/index.php/nomina-de-servidores-publicos-2/
[RETRY_10_FUNDEMPRESA] t=  38.7s | pag= 36 | files= 107 | data=  1 | cola=  57 | prio=50 | https://www.seprec.gob.bo/index.php/escala-salarial/
[RETRY_10_FUNDEMPRESA] t=  39.5s | pag= 37 | files= 108 | data=  1 | cola=  56 | prio=50 | https://www.seprec.gob.bo/index.php/manual-de-organizacion/
[RETRY_10_FUNDEMPRESA] t=  40.3s | pag= 38 | files= 109 | data=  1 | cola=  55 | prio=50 | https://www.seprec.gob.bo/index.php/poais/
[RETRY_10_FUNDEMPRESA] t=  41.1s | pag= 39 | files= 111 | data=  1 | cola=  54 | prio=50 | https://www.seprec.gob.bo/index.php/manuales-de-procedimiento/
[RETRY_10_FUNDEMPRESA] t=  41.9s | pag= 40 | files= 116 | data=  1 | cola=  53 | prio=50 | https://www.seprec.gob.bo/index.php/contrataciones/
[RETRY_10_FUNDEMPRESA] t=  42.7s | pag= 41 | files= 116 | data=  1 | cola=  52 | prio=50 | https://www.seprec.gob.bo/index.php/listado-de-convocatorias-vigentes-de-bienes-y-servicios/
[RETRY_10_FUNDEMPRESA] t=  43.5s | pag= 42 | files= 157 | data=  1 | cola=  51 | prio=50 | https://www.seprec.gob.bo/index.php/proveedores-2/
