================================================================================
CRAWLER V2
================================================================================
Fuente: Instituto Boliviano del Cemento y el Hormig�n
URL configurada: https://www.ibch.com/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.ibch.com/
  Utilizada: https://www.ibch.com/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.ibch.com/

URL de trabajo: https://www.ibch.com/
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_11_IBCH] SITEMAP | docs=16 | urls=103 | en_cola=101 | errores=4
[RETRY_11_IBCH] t=  28.1s | pag=  0 | files=   0 | data=  0 | cola= 102 | prio= 0 | https://www.ibch.com/
[RETRY_11_IBCH] t=  30.0s | pag=  1 | files=   9 | data=  0 | cola= 112 | prio= 0 | https://www.ibch.com/about-us/
[RETRY_11_IBCH] t=  31.5s | pag=  2 | files=   9 | data=  0 | cola= 114 | prio=10 | https://www.ibch.com/pavimentos/publicaciones
[RETRY_11_IBCH] t=  33.4s | pag=  3 | files=   9 | data=  0 | cola= 113 | prio=25 | https://www.ibch.com/sitemap.html
[RETRY_11_IBCH] t=  34.1s | pag=  4 | files=   9 | data=  0 | cola= 121 | prio=25 | https://www.ibch.com/categoria-producto/software/
[RETRY_11_IBCH] t=  35.4s | pag=  5 | files=   9 | data=  0 | cola= 121 | prio=25 | https://www.ibch.com/categoria-producto/cursos/
[RETRY_11_IBCH] t=  36.5s | pag=  6 | files=   9 | data=  0 | cola= 124 | prio=25 | https://www.ibch.com/download/dossier-pavimentos-rigidos/
[RETRY_11_IBCH] t=  37.6s | pag=  7 | files=   9 | data=  0 | cola= 124 | prio=10 | https://www.ibch.com/download-category/pavimentos/
[RETRY_11_IBCH] t=  38.8s | pag=  8 | files=   9 | data=  0 | cola= 123 | prio=25 | https://www.ibch.com/download/diseno-pavimentos-metodo-pca/
[RETRY_11_IBCH] t=  39.9s | pag=  9 | files=   9 | data=  0 | cola= 122 | prio=25 | https://www.ibch.com/download/manual-sobrecarpetas-aashto/
[RETRY_11_IBCH] t=  41.0s | pag= 10 | files=   9 | data=  0 | cola= 121 | prio=25 | https://www.ibch.com/download/el-estado-del-arte-del-suelocemento-en-estructuras-de-pavimentos/
[RETRY_11_IBCH] t=  42.1s | pag= 11 | files=   9 | data=  0 | cola= 120 | prio=25 | https://www.ibch.com/download/pavimentos-unicapa-de-alto-desempeno/
[RETRY_11_IBCH] t=  43.2s | pag= 12 | files=   9 | data=  0 | cola= 119 | prio=25 | https://www.ibch.com/download/juntas-en-pavimentos-urbanos/
[RETRY_11_IBCH] t=  44.3s | pag= 13 | files=   9 | data=  0 | cola= 118 | prio=25 | https://www.ibch.com/download/recomendaciones-constructivas/
[RETRY_11_IBCH] t=  45.4s | pag= 14 | files=   9 | data=  0 | cola= 117 | prio=25 | https://www.ibch.com/download/diseno-y-construccion-de-viviendas-de-bloques-de-hormigon/
[RETRY_11_IBCH] t=  46.5s | pag= 15 | files=   9 | data=  0 | cola= 117 | prio=10 | https://www.ibch.com/download-category/vivienda/
