================================================================================
CRAWLER V2
================================================================================
Fuente: Industria Farmac�utica Sigma
URL configurada: https://www.sigmacorp.com.bo/
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.sigmacorp.com.bo/
  Utilizada: https://www.sigmacorp.com.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.sigmacorp.com.bo/

URL de trabajo: https://www.sigmacorp.com.bo/
Seeds: 1
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_16_SIGMA] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=0
[RETRY_16_SIGMA] t=   6.1s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.sigmacorp.com.bo/
[RETRY_16_SIGMA] t=   8.2s | pag=  1 | files=   0 | data=  0 | cola=  20 | prio=10 | https://www.sigmacorp.com.bo/noticias/sigma-nutraceuticos-coordina-con-el-ministerio-de-salud-la-donacion-de-10-000-unidades-de-carmelo-y-nutribebe-a-familias-afectadas-por-desastres-naturales-en-samaipata
[RETRY_16_SIGMA] t=   9.1s | pag=  2 | files=   0 | data=  0 | cola=  20 | prio=10 | https://www.sigmacorp.com.bo/noticias/sigmacorp-y-gih-pioneros-en-productos-naturales-para-la-salud-ahora-juntos
[RETRY_16_SIGMA] t=   9.6s | pag=  3 | files=   0 | data=  0 | cola=  19 | prio=10 | https://www.sigmacorp.com.bo/noticias/durante-la-pandemia-del-covid-19-los-suplementos-nutricionales-mantienen-saludables-a-los-bebes
[RETRY_16_SIGMA] t=  10.3s | pag=  4 | files=   0 | data=  0 | cola=  18 | prio=10 | https://www.sigmacorp.com.bo/noticias/bolivia-redujo-el-indice-de-desnutricion-a-15-1
[RETRY_16_SIGMA] t=  11.0s | pag=  5 | files=   0 | data=  0 | cola=  17 | prio=10 | https://www.sigmacorp.com.bo/noticias/lanzamiento-del-complemento-nutricional-para-el-adulto-mayor-carmelo
[RETRY_16_SIGMA] t=  11.8s | pag=  6 | files=   0 | data=  0 | cola=  16 | prio=10 | https://www.sigmacorp.com.bo/noticias/alcaldia-de-santa-cruz-lanza-complemento-alimenticio-para-combatir-la-desnutricion
[RETRY_16_SIGMA] t=  12.3s | pag=  7 | files=   0 | data=  0 | cola=  15 | prio=10 | https://www.sigmacorp.com.bo/noticias/alimento-complementario-nutribebe-beneficio-a-mas-de-7-millones-de-ninos-bolivianos
[RETRY_16_SIGMA] t=  13.0s | pag=  8 | files=   0 | data=  0 | cola=  14 | prio=50 | https://www.sigmacorp.com.bo/nutraceutics
[RETRY_16_SIGMA] t=  13.7s | pag=  9 | files=   0 | data=  0 | cola=  13 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad
[RETRY_16_SIGMA] t=  14.6s | pag= 10 | files=   0 | data=  0 | cola=  44 | prio=50 | https://www.sigmacorp.com.bo/pharmaceutics
[RETRY_16_SIGMA] t=  15.3s | pag= 11 | files=   0 | data=  0 | cola=  55 | prio=50 | https://www.sigmacorp.com.bo/maquila
[RETRY_16_SIGMA] t=  16.1s | pag= 12 | files=   0 | data=  0 | cola=  54 | prio=50 | https://www.sigmacorp.com.bo/rse
[RETRY_16_SIGMA] t=  16.5s | pag= 13 | files=   0 | data=  0 | cola=  55 | prio=50 | https://www.sigmacorp.com.bo/recursos/farmacovigilancia
[RETRY_16_SIGMA] t=  17.2s | pag= 14 | files=   0 | data=  0 | cola=  54 | prio=50 | https://admin.sigmacorp.com.bo/
[RETRY_16_SIGMA] t=  18.2s | pag= 15 | files=   0 | data=  0 | cola=  54 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-jabonosas/solucion-jabonosa-2-100ml
[RETRY_16_SIGMA] t=  19.4s | pag= 16 | files=   0 | data=  0 | cola=  55 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-jabonosas/solucion-jabonosa-2-1-l
[RETRY_16_SIGMA] t=  19.7s | pag= 17 | files=   0 | data=  0 | cola=  54 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-jabonosas/solucion-jabonosa-2-5-l
[RETRY_16_SIGMA] t=  20.5s | pag= 18 | files=   0 | data=  0 | cola=  53 | prio=50 | https://www.sigmacorp.com.bo/bioseguridad/soluciones-jabonosas/solucion-jabonosa-4-1-l
