================================================================================
CRAWLER V2
================================================================================
Fuente: Danmarks Statistik
URL configurada: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
Timeout HTTP: 12 s
Pausa HTTP:   aleatoria 0.15s - 0.35s


Resoluci�n de fuente:
  Original: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
  Utilizada: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api

URL de trabajo: https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
Seeds: 2
M�x p�ginas: 250
M�x archivos: 30000
M�x profundidad: 8
Sitemaps: activo
M�x URLs sitemap: 5000

[RETRY_17_STATISTICS_DENMARK] SITEMAP | docs=0 | urls=0 | en_cola=0 | errores=0
[RETRY_17_STATISTICS_DENMARK] t=   7.2s | pag=  0 | files=   0 | data=  0 | cola=   3 | prio= 0 | https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
[RETRY_17_STATISTICS_DENMARK] DATASETS=1 | data_html_table | https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken/api
[RETRY_17_STATISTICS_DENMARK] t=   9.4s | pag=  1 | files=   0 | data=  1 | cola=  60 | prio= 0 | https://www.dst.dk/en/Statistik/hjaelp-til-statistikbanken
[RETRY_17_STATISTICS_DENMARK] t=   9.7s | pag=  2 | files=   0 | data=  1 | cola=  61 | prio= 0 | https://api.statbank.dk/v1/subjects?format=JSON&lang=en
[RETRY_17_STATISTICS_DENMARK] DATASETS=2 | json_api | https://api.statbank.dk/v1/subjects?format=JSON&lang=en
[RETRY_17_STATISTICS_DENMARK] t=  11.8s | pag=  2 | files=   0 | data=  2 | cola=  60 | prio= 0 | https://api.statbank.dk/v1/tables?format=JSON&lang=en
[RETRY_17_STATISTICS_DENMARK] DATASETS=3 | json_api | https://api.statbank.dk/v1/tables?format=JSON&lang=en
[RETRY_17_STATISTICS_DENMARK] t=  14.4s | pag=  2 | files=   0 | data=  3 | cola=  59 | prio=10 | https://www.dst.dk/en/kontakt
[RETRY_17_STATISTICS_DENMARK] t=  14.8s | pag=  3 | files=   0 | data=  3 | cola=  63 | prio=10 | https://www.dst.dk/en/Statistik
[RETRY_17_STATISTICS_DENMARK] t=  15.2s | pag=  4 | files=   0 | data=  3 | cola=  63 | prio=10 | https://www.dst.dk/en/Statistik/emner
[RETRY_17_STATISTICS_DENMARK] t=  16.0s | pag=  5 | files=   0 | data=  3 | cola=  90 | prio=10 | https://www.dst.dk/en/Statistik/laer-om-statistik
[RETRY_17_STATISTICS_DENMARK] t=  16.6s | pag=  6 | files=   0 | data=  3 | cola=  96 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning
[RETRY_17_STATISTICS_DENMARK] t=  17.2s | pag=  7 | files=   0 | data=  3 | cola= 106 | prio=10 | https://www.dst.dk/en/consulting/building-statistical-capacity
[RETRY_17_STATISTICS_DENMARK] t=  17.8s | pag=  8 | files=   1 | data=  3 | cola= 106 | prio=10 | https://www.dst.dk/en/consulting/annual-reports
[RETRY_17_STATISTICS_DENMARK] DATASETS=4 | exportable_data_page | https://www.dst.dk/en/consulting/annual-reports
[RETRY_17_STATISTICS_DENMARK] t=  18.3s | pag=  9 | files=   2 | data=  4 | cola= 116 | prio=10 | https://www.dst.dk/en/consulting/projects?en=
[RETRY_17_STATISTICS_DENMARK] t=  18.9s | pag= 10 | files=   3 | data=  4 | cola= 121 | prio=10 | https://www.dst.dk/en/OmDS/danmarks-statistiks-rolle-og-opgave
[RETRY_17_STATISTICS_DENMARK] t=  19.5s | pag= 11 | files=   3 | data=  4 | cola= 122 | prio=10 | https://www.dst.dk/en/informationsservice/informationsspecialister
[RETRY_17_STATISTICS_DENMARK] t=  20.2s | pag= 12 | files=   3 | data=  4 | cola= 124 | prio=10 | https://www.dst.dk/da/TilSalg/data-til-forskning
[RETRY_17_STATISTICS_DENMARK] t=  20.8s | pag= 13 | files=   3 | data=  4 | cola= 190 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/om-danmarks-datavindue/om-ddv-app
[RETRY_17_STATISTICS_DENMARK] t=  21.4s | pag= 14 | files=   3 | data=  4 | cola= 192 | prio=10 | https://www.dst.dk/en/TilSalg/data-til-forskning/mikrodataordninger
