fuente;institucion;url_original;url_prueba;nota;paginas;archivos;datasets;recursos_json;urls_unicas;duplicados_url;formatos;errores;motivo_parada;duracion_crawler;duracion_total;sitemaps;urls_sitemap;urls_sitemap_en_cola;resultado;detalle;json_output;log_output
BOLCEREALES;Bolsa de Cereales;https://www.bolsadecereales.com;https://www.bolsadecereales.com/datasets;Se entra directamente por las secciones públicas de datos para evitar el 403 de la portada.;0;0;0;0;0;0;{};5;frontier_exhausted;0.0;21.44;0;0;0;FUENTE_DENEGADA;La URL utilizada respondió 403.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_map\01_bolcereales.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_logs\01_bolcereales.log
CADEXCO;Cámara de Exportadores de Cochabamba;https://www.cadexco.org.bo;https://cadexco.bo/;Dominio institucional actualizado.;0;0;0;0;0;0;{};0;;0.0;360.05;0;0;0;TIMEOUT;Excedió el tiempo máximo del retry.;;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_logs\02_cadexco.log
CEPROBOL;Centro de Promoción Bolivia;https://www.ceprobol.gob.bo;https://produccion.gob.bo/;"Fuente histórica/discontinuada; se prueba el ministerio sucesor como contingencia.";0;638;48;686;686;0;"{""PDF"": 597, ""RAR"": 30, ""WEB"": 48, ""ZIP"": 11}";1;max_pages;0.0;213.98;0;0;0;FUNCIONA_LIMITE;Encontró recursos pero llegó a max_pages.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_map\03_ceprobol.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_logs\03_ceprobol.log
FAM;Federación de Asociaciones Municipales de Bolivia;https://www.fam.bo;https://fam.org.bo/;Dominio institucional actualizado.;0;123;1;124;124;0;"{""PDF"": 123, ""WEB"": 1}";2;max_pages;0.0;324.51;11;259;257;FUNCIONA_LIMITE;Encontró recursos pero llegó a max_pages.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_map\04_fam.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_logs\04_fam.log
FDTA-Valles;Fundación para el Desarrollo Tecnológico Agropecuario de los Valles;https://www.icco.org;https://bibliotecavirtual.fundacionvalles.org/;La URL del Excel apuntaba a ICCO. Se usa el repositorio oficial de Fundación Valles.;0;0;0;0;0;0;{};2;frontier_exhausted;0.0;112.46;0;0;0;SIGUE_SIN_RECURSOS;"Terminó sin recursos; requiere revisión específica.";C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_map\05_fdta_valles.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_logs\05_fdta_valles.log
FEGASACRUZ;Federación de Ganaderos de Santa Cruz;https://www.fegasacruz.org.bo;https://fegasacruz.org/;"Dominio actual; la portada está en construcción pero se deja trabajar sitemap/enlaces históricos.";0;0;0;0;0;0;{};0;frontier_exhausted;0.0;44.04;0;0;0;SIGUE_SIN_RECURSOS;"Terminó sin recursos; requiere revisión específica.";C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_map\06_fegasacruz.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_logs\06_fegasacruz.log
FIFA;Federación Internacional de Fútbol Asociación;https://www.fifa.com;https://inside.fifa.com/en/official-documents;"La portada principal es muy dinámica; se entra por los repositorios oficiales de documentos.";0;0;0;0;0;0;{};0;;0.0;360.03;0;0;0;TIMEOUT;Excedió el tiempo máximo del retry.;;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_logs\07_fifa.log
FINRURAL/indicadores;FINRURAL Bolivia;https://www.finrural.bo;https://www.finrural.org.bo/;Dominio institucional actualizado y entrada directa al reporte financiero.;0;130;9;139;139;0;"{""PDF"": 130, ""WEB"": 9}";2;frontier_exhausted;0.0;205.37;0;0;0;FUNCIONA_CON_ERRORES;Generó recursos pero tuvo errores parciales.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_map\08_finrural_indicadores.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_logs\08_finrural_indicadores.log
FMI;Fondo Monetario Internacional;https://www.imf.org;https://www.imf.org/external/datamapper/api/;Se usa la API pública DataMapper en vez de la portada que respondió 403.;0;0;0;0;0;0;{};6;frontier_exhausted;0.0;17.96;0;0;0;FUENTE_DENEGADA;La URL utilizada respondió 403.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_map\09_fmi.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_logs\09_fmi.log
FUNDEMPRESA;Registro de Comercio de Bolivia;https://www.fundempresa.org.bo;https://www.seprec.gob.bo/;"Fuente histórica; SEPREC se usa como contingencia/sucesor institucional.";0;217;1;218;218;0;"{""PDF"": 217, ""WEB"": 1}";1;frontier_exhausted;0.0;183.92;0;0;0;FUNCIONA_CON_ERRORES;Generó recursos pero tuvo errores parciales.;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_map\10_fundempresa.json;C:\Ultimo Semestre 7\trabajo\DATAX\team crawler\crawler_asfi\Crawler_BCB\crawler_v2\output\retry_problematic_logs\10_fundempresa.log
